uuid,day_type,minute_of_day,probability
e393ba65-116a-4353-93e5-67568e994b55,weekday,0,0.0005230125523012552
d62aecd3-8ed9-4128-ac58-1ecc38d950d6,weekday,5,8.172071129707113e-05
af649866-be6b-4bc8-95b0-9d0187df8355,weekday,10,4.903242677824268e-05
60c3b497-f336-4945-b3bc-5c5701e99e32,weekday,13,1.6344142259414225e-05
bd2d17c2-6283-47fd-b9c1-795b397a51c2,weekday,15,0.0001961297071129707
7bbc0ab4-466c-482d-aba8-2f17dd26180b,weekday,20,9.806485355648535e-05
3d030ff5-913e-452b-aca1-86d9ebc6f7aa,weekday,25,3.268828451882845e-05
f7750b64-ed82-400e-b846-e12a930bcab7,weekday,30,0.0003432269874476987
c804d092-d5b2-487d-b79c-3bbdd94efbd9,weekday,40,1.6344142259414225e-05
05674822-e653-422b-ad89-3522930fdcef,weekday,45,4.903242677824268e-05
40ba39d9-5dd3-45be-808d-c780ae7b258d,weekday,55,1.6344142259414225e-05
7e91f4ec-7311-4633-b55f-cde6f703b0ab,weekday,60,0.0002941945606694561
47b6225d-d1aa-4ac0-989f-d6b67680ec77,weekday,65,3.268828451882845e-05
e0ab7a2f-9560-4005-81f8-eabe0298d665,weekday,70,4.903242677824268e-05
bf8f4b93-9e2e-45ca-8a35-7969a8a062ea,weekday,75,6.53765690376569e-05
6080ff64-cedf-4a0d-9548-320de4e5799f,weekday,80,3.268828451882845e-05
a3b76735-4e6f-443c-852d-d08d267514a4,weekday,85,1.6344142259414225e-05
8b09dad5-56bd-4d31-ba5f-c5ae82d04071,weekday,90,0.0001797855648535565
b3d972d4-9c1f-44ab-b094-93955538edbf,weekday,95,1.6344142259414225e-05
3300155c-d24e-4763-91f1-32ad0df02e46,weekday,100,3.268828451882845e-05
f15ac5c4-2416-4270-b4b0-5271dfe7fa34,weekday,105,3.268828451882845e-05
ef7b9d17-68a7-4986-a59a-d1d4afbd8f93,weekday,120,0.0002615062761506276
a552054a-37d2-4d79-b43d-1d195dc8a5ea,weekday,125,1.6344142259414225e-05
e3ee0769-1888-4419-8b91-062465d33fb1,weekday,130,4.903242677824268e-05
02e5cc3a-7aa0-439e-8fb9-126e860e1368,weekday,135,0.0001307531380753138
3b9ae299-be0d-473f-801d-ac42cc6cbab3,weekday,140,3.268828451882845e-05
cf53ae40-291d-4246-ba26-1e8e2e905bce,weekday,145,4.903242677824268e-05
247b018b-5aa8-4277-a6ba-76c9710b435b,weekday,150,0.00011440899581589958
f0170105-09fa-4f6e-ac28-3229a8a2aaad,weekday,155,3.268828451882845e-05
3ec4d703-22f4-4784-8905-0d8857771295,weekday,160,6.53765690376569e-05
7bae1101-90d7-4d64-a016-7bb73c9e9824,weekday,165,0.00011440899581589958
1676ff43-67c4-4985-8916-6aec1a26f3c5,weekday,170,3.268828451882845e-05
ec174740-be20-4a9b-aa49-d726e98ffefb,weekday,180,0.00027785041841004186
89eb829f-52ce-4055-b5a2-c56894d46f05,weekday,185,3.268828451882845e-05
b7ea50a8-3436-4989-813f-d5f7fd8c4a2b,weekday,190,0.0001307531380753138
9774f1d2-c293-4c54-a06e-235e33b43923,weekday,195,0.00011440899581589958
76d69342-e3ac-4861-8dc4-9192d3a13d6e,weekday,199,1.6344142259414225e-05
cbd0457a-0a9f-4c8e-a8b7-544f1fdda547,weekday,200,0.0001307531380753138
6fbbc9b3-383f-4190-bf7c-bbc472f4d4c5,weekday,205,4.903242677824268e-05
9f5ec15a-144d-475d-a0ea-ea4cfdfbbda3,weekday,210,0.0003922594142259414
e0dfacb6-a95b-4a21-9888-90f57dc87990,weekday,215,8.172071129707113e-05
7978d2a3-dc89-4dd1-8a52-7321db999307,weekday,220,8.172071129707113e-05
16b39d44-a3f5-4ab6-b778-1c002f292e7e,weekday,225,0.0001797855648535565
202cfe8c-e9d1-4d2d-a539-e8d2624af4d7,weekday,230,0.0001307531380753138
d49a637d-98f9-4cda-b072-327b1c29376a,weekday,235,6.53765690376569e-05
7adcfb5a-f8e4-4f8f-a623-9f6001993015,weekday,240,0.0008335512552301255
aba96ac7-be63-4efc-afc2-5764f76913c9,weekday,245,9.806485355648535e-05
8bed1070-c260-41b6-bda0-6fd14f268f52,weekday,250,0.00022881799163179916
23d7c3e4-a4e6-46c1-9063-8cc36d96aabc,weekday,253,1.6344142259414225e-05
de55bb32-2d06-4879-8482-eed03da5371d,weekday,255,0.0003105387029288703
331e10ef-242a-440c-90b9-4550f5eb2660,weekday,256,1.6344142259414225e-05
ea29e52f-263b-49ff-aa29-91c29e289bc0,weekday,260,0.00027785041841004186
fab08909-ca2f-4bfd-ad18-3d08eb59d68e,weekday,265,0.00011440899581589958
fac6a7c6-323b-4433-964e-959efc9c7866,weekday,268,1.6344142259414225e-05
4824b90f-f572-4624-9504-22d90125b060,weekday,270,0.001944952928870293
c57b2059-f1b0-4e36-ad8b-09364b757081,weekday,275,0.00021247384937238495
fe29cf75-10eb-4972-9a91-7fc193e128da,weekday,280,0.0003922594142259414
0d84730c-dfb9-4585-b0f2-5335688a9427,weekday,285,0.0013729079497907949
dd6ddcfe-7cd6-4dcb-8665-a9b4aa0cf555,weekday,287,1.6344142259414225e-05
bfb519bc-7fe4-4daa-96e5-2f39a73f1c2d,weekday,288,1.6344142259414225e-05
aad54902-c371-4b13-9d55-e6d0d7c5cf91,weekday,290,0.0005720449790794979
d13220c9-512b-4f50-ab7e-5ac5d52b3606,weekday,295,0.0005393566945606695
227fc3d5-c4b6-4e51-9c8c-45d54026a71f,weekday,298,1.6344142259414225e-05
381c3291-5be3-4752-a6c7-d7a79ad3dfb7,weekday,299,1.6344142259414225e-05
a6c779e3-77a4-4400-91ab-c9214f4a4555,weekday,300,0.005704105648535565
20aa7e1f-8209-43d1-b70c-eb1718939caa,weekday,302,1.6344142259414225e-05
d5a02a41-a073-4102-b06d-92cbf11457e1,weekday,303,3.268828451882845e-05
0523acd4-48f2-4db3-a5e1-762d61198b9a,weekday,304,1.6344142259414225e-05
562646d3-34a0-4bb9-9426-674e74ab5890,weekday,305,0.0005883891213389122
fba55627-0a76-4c03-a27e-e4519ae2d977,weekday,306,1.6344142259414225e-05
164fdc04-705d-4a46-aec9-016c5b889954,weekday,307,3.268828451882845e-05
