uuid,day_type,quarter_hour_of_day,from,to,probability
246f7304-b71b-468f-a322-153e3cd014c5,weekday,0,home,home,0.6585365853658537
5f0483dd-34c4-4a08-a080-2cb9d207f3ae,weekday,0,home,work,0.07317073170731707
9aabe506-e7a3-4117-8c44-ec7acc512b85,weekday,0,home,shopping,0.14634146341463414
33c4c505-4e90-4e8e-9123-7f3b52fa2b13,weekday,0,home,leisure,0.0975609756097561
f5bebae6-3fe1-4bd6-aaa3-ef4cd4022448,weekday,0,home,other,0.024390243902439025
5bf8ef00-d721-4f60-af0f-1e66a0ddc522,weekday,0,work,home,0.2
6186e669-b79f-4ae0-a3d9-f2137294efeb,weekday,0,work,work,0.2
076d98f4-dded-4c78-802b-e919f50cf796,weekday,0,work,shopping,0.2
bba7d0f8-cf29-4ac4-aeab-ad0273ea5b78,weekday,0,work,leisure,0.2
22554022-160e-4718-89ff-7dae5e046912,weekday,0,work,other,0.2
f77ee61f-4421-4ec5-b8a1-fe630529a0e2,weekday,0,shopping,home,0.2
8f258aa6-92b4-4abc-8c12-bb1f3ce262ff,weekday,0,shopping,work,0.2
0aa07954-d50c-4b07-80d9-2c89a3d35d5c,weekday,0,shopping,shopping,0.2
95ad9582-d15a-4fc2-9c7e-5387cbbbf553,weekday,0,shopping,leisure,0.2
f8993d08-d0b5-4dc2-a22d-919d169f88f9,weekday,0,shopping,other,0.2
25cdb767-c42f-4dd1-a2a9-a33fc4ad11de,weekday,0,leisure,home,0.2
1e8c2ca0-866d-4799-bc65-d6fcaccbd6ba,weekday,0,leisure,work,0.2
4ec557a7-a14e-4147-8fb5-c77b98dd93ca,weekday,0,leisure,shopping,0.2
6660bdae-e1ca-483f-a0fb-3eac8c9575cd,weekday,0,leisure,leisure,0.2
ab2d0120-9f7b-4acf-8d4e-c3e7a6da3a94,weekday,0,leisure,other,0.2
ae9dd579-056c-49c1-bc15-7d9a600dc1c5,weekday,0,other,home,0.2
b26f6dca-4492-426a-b270-03a60c139d6e,weekday,0,other,work,0.2
3e8ad8b3-ef27-4008-8ac3-c408e22b69e9,weekday,0,other,shopping,0.2
7906def3-b6b5-4335-9717-53980cdcabae,weekday,0,other,leisure,0.2
4af91dfd-1169-4a81-b1ad-d2d9d4b334a5,weekday,0,other,other,0.2
7df95d3f-772f-48f1-a640-f30b501bcc26,weekday,1,home,home,0.6
467b606f-be55-4aaf-9aea-a2c755812552,weekday,1,home,work,0.25
5e133d03-f80a-450d-ab11-66823482a040,weekday,1,home,shopping,0.05
bbc12999-c3a6-4d2d-ab28-ca7c074b5968,weekday,1,home,leisure,0.05
4df7212a-99b8-4193-a4d3-148e84ea5a55,weekday,1,home,other,0.05
e8006828-11ff-4e4a-87a5-1c75de9068b2,weekday,1,work,home,0.2
c0f9f904-5826-4660-9ceb-54a5a5be01e2,weekday,1,work,work,0.2
66e60dc1-21bd-45dc-8971-0d05c2b01f01,weekday,1,work,shopping,0.2
