p;q;time
0.711246;0.2907036;2016-01-01T00:00:00Z
0.200607;0.0092292;2016-01-01T00:15:00Z
0.19149;0.0138432;2016-01-01T00:30:00Z
0.19605;0.0323004;2016-01-01T00:45:00Z
0.227964;0.0323004;2016-01-01T01:00:00Z
0.223404;0.0;2016-01-01T01:15:00Z
0.18693;0.0553728;2016-01-01T01:30:00Z
0.19149;0.0922872;2016-01-01T01:45:00Z
0.159573;0.0646008;2016-01-01T02:00:00Z
0.145896;-0.0369144;2016-01-01T02:15:00Z
0.123099;-0.0415296;2016-01-01T02:30:00Z
0.223404;-0.0184572;2016-01-01T02:45:00Z
0.19149;-0.0138432;2016-01-01T03:00:00Z
0.18237;-0.0092292;2016-01-01T03:15:00Z
0.200607;-0.0138432;2016-01-01T03:30:00Z
0.18237;0.0092292;2016-01-01T03:45:00Z
0.209727;-0.0276864;2016-01-01T04:00:00Z
0.227964;0.0184572;2016-01-01T04:15:00Z
0.237081;0.0646008;2016-01-01T04:30:00Z
0.237081;0.0276864;2016-01-01T04:45:00Z
0.346506;-0.0507576;2016-01-01T05:00:00Z
0.405774;0.0230712;2016-01-01T05:15:00Z
0.18693;0.083058;2016-01-01T05:30:00Z
0.268998;0.0184572;2016-01-01T05:45:00Z
0.237081;0.1430448;2016-01-01T06:00:00Z
0.278115;0.1107444;2016-01-01T06:15:00Z
0.278115;-0.0369144;2016-01-01T06:30:00Z
0.214287;0.0;2016-01-01T06:45:00Z
0.250761;0.083058;2016-01-01T07:00:00Z
0.209727;0.0138432;2016-01-01T07:15:00Z
0.205167;0.0692148;2016-01-01T07:30:00Z
0.241641;0.156888;2016-01-01T07:45:00Z
0.241641;0.0461436;2016-01-01T08:00:00Z
0.214287;-0.0599868;2016-01-01T08:15:00Z
0.150456;-0.0092292;2016-01-01T08:30:00Z
0.150456;0.0599868;2016-01-01T08:45:00Z
0.145896;0.0369144;2016-01-01T09:00:00Z
0.100305;0.0;2016-01-01T09:15:00Z
0.246201;-0.004614;2016-01-01T09:30:00Z
0.19149;0.0553728;2016-01-01T09:45:00Z
0.214287;0.0184572;2016-01-01T10:00:00Z
0.145896;-0.0461436;2016-01-01T10:15:00Z
0.155016;-0.0230712;2016-01-01T10:30:00Z
0.173253;0.0553728;2016-01-01T10:45:00Z
0.19605;0.1199736;2016-01-01T11:00:00Z
0.18237;0.2630184;2016-01-01T11:15:00Z
0.177813;0.0;2016-01-01T11:30:00Z
0.209727;0.07383;2016-01-01T11:45:00Z
0.341946;0.1476588;2016-01-01T12:00:00Z
0.332826;0.004614;2016-01-01T12:15:00Z
0.214287;0.1153584;2016-01-01T12:30:00Z
0.259878;0.004614;2016-01-01T12:45:00Z
0.287235;0.0876732;2016-01-01T13:00:00Z
0.332826;0.078444;2016-01-01T13:15:00Z
0.291792;-0.004614;2016-01-01T13:30:00Z
0.268998;-0.004614;2016-01-01T13:45:00Z
0.255318;0.0;2016-01-01T14:00:00Z
0.241641;0.1245876;2016-01-01T14:15:00Z
0.314589;0.156888;2016-01-01T14:30:00Z
0.396657;0.078444;2016-01-01T14:45:00Z
0.474165;0.0646008;2016-01-01T15:00:00Z
0.346506;0.0922872;2016-01-01T15:15:00Z
0.920973;0.0553728;2016-01-01T15:30:00Z
1.003041;0.0646008;2016-01-01T15:45:00Z
0.446808;-0.0138432;2016-01-01T16:00:00Z
0.56991;0.0599868;2016-01-01T16:15:00Z
0.547113;-0.0276864;2016-01-01T16:30:00Z
0.629178;-0.0461436;2016-01-01T16:45:00Z
0.487842;0.0415296;2016-01-01T17:00:00Z
0.829788;0.2168748;2016-01-01T17:15:00Z
1.50456;0.0553728;2016-01-01T17:30:00Z
1.741641;0.4522068;2016-01-01T17:45:00Z
2.120061;0.9690132;2016-01-01T18:00:00Z
1.281156;0.0276864;2016-01-01T18:15:00Z
0.829788;0.0092292;2016-01-01T18:30:00Z
0.715806;-0.0092292;2016-01-01T18:45:00Z
1.189971;0.0646008;2016-01-01T19:00:00Z
0.515199;0.0646008;2016-01-01T19:15:00Z
0.642858;0.004614;2016-01-01T19:30:00Z
1.262919;0.5075784;2016-01-01T19:45:00Z
1.003041;0.5306508;2016-01-01T20:00:00Z
0.989361;0.2445612;2016-01-01T20:15:00Z
0.706686;0.0599868;2016-01-01T20:30:00Z
1.554711;0.0553728;2016-01-01T20:45:00Z
0.907296;0.0;2016-01-01T21:00:00Z
0.615501;0.0876732;2016-01-01T21:15:00Z
2.092704;1.0889868;2016-01-01T21:30:00Z
1.281156;0.3276192;2016-01-01T21:45:00Z
1.021278;0.0230712;2016-01-01T22:00:00Z
1.212765;0.078444;2016-01-01T22:15:00Z
1.189971;0.2122596;2016-01-01T22:30:00Z
0.984801;0.1476588;2016-01-01T22:45:00Z
0.647415;-0.004614;2016-01-01T23:00:00Z
0.537993;0.0599868;2016-01-01T23:15:00Z
0.483282;0.0969012;2016-01-01T23:30:00Z
0.442248;0.1938024;2016-01-01T23:45:00Z
0.433131;-0.0138432;2016-01-02T00:00:00Z
0.515199;0.1891884;2016-01-02T00:15:00Z
0.501519;0.0922872;2016-01-02T00:30:00Z
0.597264;0.0184572;2016-01-02T00:45:00Z
0.414894;0.1338156;2016-01-02T01:00:00Z
0.442248;0.0369144;2016-01-02T01:15:00Z
0.428571;-0.0230712;2016-01-02T01:30:00Z
0.364743;-0.0276864;2016-01-02T01:45:00Z
0.37842;0.5260356;2016-01-02T02:00:00Z
0.264438;0.387606;2016-01-02T02:15:00Z
0.291792;-0.0092292;2016-01-02T02:30:00Z
0.218844;0.1661172;2016-01-02T02:45:00Z
0.155016;0.1845744;2016-01-02T03:00:00Z
0.168693;0.0969012;2016-01-02T03:15:00Z
0.177813;0.0553728;2016-01-02T03:30:00Z
0.19605;0.0415296;2016-01-02T03:45:00Z
0.168693;0.0599868;2016-01-02T04:00:00Z
0.18693;0.0276864;2016-01-02T04:15:00Z
0.19149;0.0553728;2016-01-02T04:30:00Z
0.209727;0.0369144;2016-01-02T04:45:00Z
0.205167;-0.0323004;2016-01-02T05:00:00Z
0.259878;0.0599868;2016-01-02T05:15:00Z
0.259878;0.0507576;2016-01-02T05:30:00Z
0.246201;0.0092292;2016-01-02T05:45:00Z
0.223404;0.0369144;2016-01-02T06:00:00Z
0.227964;0.0461436;2016-01-02T06:15:00Z
0.268998;0.1015152;2016-01-02T06:30:00Z
0.218844;0.07383;2016-01-02T06:45:00Z
0.214287;-0.004614;2016-01-02T07:00:00Z
0.223404;0.0692148;2016-01-02T07:15:00Z
0.264438;0.0692148;2016-01-02T07:30:00Z
0.282675;0.0230712;2016-01-02T07:45:00Z
0.319149;0.0230712;2016-01-02T08:00:00Z
0.314589;0.0323004;2016-01-02T08:15:00Z
0.37842;-0.0276864;2016-01-02T08:30:00Z
0.259878;-0.0276864;2016-01-02T08:45:00Z
0.305472;-0.0323004;2016-01-02T09:00:00Z
0.259878;-0.0553728;2016-01-02T09:15:00Z
0.278115;0.0230712;2016-01-02T09:30:00Z
0.310029;0.0;2016-01-02T09:45:00Z
0.355623;-0.0507576;2016-01-02T10:00:00Z
0.355623;0.0092292;2016-01-02T10:15:00Z
0.319149;0.0507576;2016-01-02T10:30:00Z
0.483282;0.0969012;2016-01-02T10:45:00Z
0.665652;0.152274;2016-01-02T11:00:00Z
0.848025;0.0922872;2016-01-02T11:15:00Z
0.651975;0.1661172;2016-01-02T11:30:00Z
0.542553;0.0876732;2016-01-02T11:45:00Z
0.547113;0.1061304;2016-01-02T12:00:00Z
0.861702;0.1107444;2016-01-02T12:15:00Z
0.56079;0.0461436;2016-01-02T12:30:00Z
0.424011;0.07383;2016-01-02T12:45:00Z
1.003041;0.0507576;2016-01-02T13:00:00Z
0.715806;0.0138432;2016-01-02T13:15:00Z
1.226445;-0.0969012;2016-01-02T13:30:00Z
0.966564;-0.0646008;2016-01-02T13:45:00Z
0.496959;0.0;2016-01-02T14:00:00Z
0.246201;0.0415296;2016-01-02T14:15:00Z
0.173253;0.0276864;2016-01-02T14:30:00Z
0.095745;-0.0323004;2016-01-02T14:45:00Z
0.278115;0.0092292;2016-01-02T15:00:00Z
0.916413;0.0230712;2016-01-02T15:15:00Z
0.624621;0.0323004;2016-01-02T15:30:00Z
0.314589;0.1707312;2016-01-02T15:45:00Z
1.212765;0.0646008;2016-01-02T16:00:00Z
0.948327;-0.0092292;2016-01-02T16:15:00Z
0.487842;0.0415296;2016-01-02T16:30:00Z
0.241641;0.1061304;2016-01-02T16:45:00Z
0.451368;0.0646008;2016-01-02T17:00:00Z
0.483282;0.1153584;2016-01-02T17:15:00Z
0.360183;0.0507576;2016-01-02T17:30:00Z
0.328266;0.0;2016-01-02T17:45:00Z
0.310029;0.2676324;2016-01-02T18:00:00Z
0.405774;0.2030316;2016-01-02T18:15:00Z
0.437691;0.0507576;2016-01-02T18:30:00Z
0.446808;-0.0876732;2016-01-02T18:45:00Z
0.651975;-0.1199736;2016-01-02T19:00:00Z
0.898176;0.1107444;2016-01-02T19:15:00Z
0.775077;0.2445612;2016-01-02T19:30:00Z
0.711246;0.1015152;2016-01-02T19:45:00Z
1.007598;0.07383;2016-01-02T20:00:00Z
0.474165;0.083058;2016-01-02T20:15:00Z
0.661095;0.07383;2016-01-02T20:30:00Z
0.355623;0.0461436;2016-01-02T20:45:00Z
0.647415;0.0646008;2016-01-02T21:00:00Z
