p;q;time
1.3557565;-0.135038;2016-01-01T00:00:00Z
0.3234539;0.120824;2016-01-01T00:15:00Z
1.0116589;0.149254;2016-01-01T00:30:00Z
0.6262641;0.021322;2016-01-01T00:45:00Z
0.5299154;0.049752;2016-01-01T01:00:00Z
0.5092717;0.035536;2016-01-01T01:15:00Z
0.5780922;0.255864;2016-01-01T01:30:00Z
0.4610949;0.199004;2016-01-01T01:45:00Z
0.412923;0.099502;2016-01-01T02:00:00Z
0.3853948;-0.049752;2016-01-01T02:15:00Z
0.4060385;0.085288;2016-01-01T02:30:00Z
0.2133411;-0.042644;2016-01-01T02:45:00Z
0.1926974;0.056858;2016-01-01T03:00:00Z
0.1582847;0.021322;2016-01-01T03:15:00Z
0.1101128;-0.02843;2016-01-01T03:30:00Z
0.1238769;0.014214;2016-01-01T03:45:00Z
0.2064615;0.021322;2016-01-01T04:00:00Z
0.4335667;0.071074;2016-01-01T04:15:00Z
0.5230358;0.355366;2016-01-01T04:30:00Z
0.1307565;0.021322;2016-01-01T04:45:00Z
0.1032283;-0.035536;2016-01-01T05:00:00Z
0.0963487;-0.02843;2016-01-01T05:15:00Z
0.1169924;0.035536;2016-01-01T05:30:00Z
0.1514051;0.0;2016-01-01T05:45:00Z
0.412923;0.0;2016-01-01T06:00:00Z
1.3144642;0.07818;2016-01-01T06:15:00Z
1.1699436;0.063966;2016-01-01T06:30:00Z
1.1080076;0.135038;2016-01-01T06:45:00Z
1.0116589;0.454868;2016-01-01T07:00:00Z
0.9772462;0.796018;2016-01-01T07:15:00Z
0.9221898;0.135038;2016-01-01T07:30:00Z
0.9221898;0.2914;2016-01-01T07:45:00Z
1.025423;0.191898;2016-01-01T08:00:00Z
0.8396052;0.376688;2016-01-01T08:15:00Z
0.8051974;0.142146;2016-01-01T08:30:00Z
0.9772462;0.191898;2016-01-01T08:45:00Z
1.0323026;0.426438;2016-01-01T09:00:00Z
0.7294924;-0.07818;2016-01-01T09:15:00Z
0.8740179;0.085288;2016-01-01T09:30:00Z
0.8740179;0.120824;2016-01-01T09:45:00Z
0.9566025;0.248756;2016-01-01T10:00:00Z
0.8258411;-0.035536;2016-01-01T10:15:00Z
0.7776692;0.056858;2016-01-01T10:30:00Z
1.0529512;-0.042644;2016-01-01T10:45:00Z
1.0047744;0.063966;2016-01-01T11:00:00Z
2.037077;-0.042644;2016-01-01T11:15:00Z
2.7734539;-0.227434;2016-01-01T11:30:00Z
3.2207847;0.163468;2016-01-01T11:45:00Z
2.9523872;0.220326;2016-01-01T12:00:00Z
3.1106719;0.646766;2016-01-01T12:15:00Z
2.5738769;-0.042644;2016-01-01T12:30:00Z
1.8443796;-0.014214;2016-01-01T12:45:00Z
2.1540743;0.76759;2016-01-01T13:00:00Z
2.8009821;1.805256;2016-01-01T13:15:00Z
4.2049154;0.47619;2016-01-01T13:30:00Z
3.8883411;1.677326;2016-01-01T13:45:00Z
2.2779512;0.149254;2016-01-01T14:00:00Z
4.3700846;1.50675;2016-01-01T14:15:00Z
3.3584257;0.63255;2016-01-01T14:30:00Z
2.7390461;1.634682;2016-01-01T14:45:00Z
3.124436;0.454868;2016-01-01T15:00:00Z
1.5278102;0.092396;2016-01-01T15:15:00Z
1.5278102;0.362472;2016-01-01T15:30:00Z
1.1492999;0.113716;2016-01-01T15:45:00Z
1.637923;-0.049752;2016-01-01T16:00:00Z
0.9221898;-0.092396;2016-01-01T16:15:00Z
1.3764051;0.10661;2016-01-01T16:30:00Z
2.6702256;0.142146;2016-01-01T16:45:00Z
2.2710667;-0.035536;2016-01-01T17:00:00Z
2.9386231;1.00213;2016-01-01T17:15:00Z
2.112782;-0.014214;2016-01-01T17:30:00Z
2.8491589;0.02843;2016-01-01T17:45:00Z
1.4796334;-0.056858;2016-01-01T18:00:00Z
2.9110949;0.049752;2016-01-01T18:15:00Z
2.0852538;0.241648;2016-01-01T18:30:00Z
2.1334257;0.021322;2016-01-01T18:45:00Z
1.7480358;0.07818;2016-01-01T19:00:00Z
1.225;0.10661;2016-01-01T19:15:00Z
0.949718;0.163468;2016-01-01T19:30:00Z
2.1540743;0.021322;2016-01-01T19:45:00Z
1.4933975;0.035536;2016-01-01T20:00:00Z
1.4039333;0.149254;2016-01-01T20:15:00Z
1.562218;0.099502;2016-01-01T20:30:00Z
2.0852538;0.575692;2016-01-01T20:45:00Z
1.3764051;0.326936;2016-01-01T21:00:00Z
1.1768281;0.063966;2016-01-01T21:15:00Z
1.5966307;0.120824;2016-01-01T21:30:00Z
1.5209257;0.07818;2016-01-01T21:45:00Z
1.2043563;0.007108;2016-01-01T22:00:00Z
1.3351128;0.02843;2016-01-01T22:15:00Z
0.9290743;0.07818;2016-01-01T22:30:00Z
0.7294924;0.15636;2016-01-01T22:45:00Z
0.7914333;0.042644;2016-01-01T23:00:00Z
0.7294924;0.15636;2016-01-01T23:15:00Z
0.9221898;0.07818;2016-01-01T23:30:00Z
0.6193796;0.390902;2016-01-01T23:45:00Z
0.7019642;0.014214;2016-01-02T00:00:00Z
0.9221898;0.170576;2016-01-02T00:15:00Z
0.4198026;0.099502;2016-01-02T00:30:00Z
0.3578666;0.007108;2016-01-02T00:45:00Z
0.3028102;0.085288;2016-01-02T01:00:00Z
0.3234539;0.063966;2016-01-02T01:15:00Z
0.199577;0.035536;2016-01-02T01:30:00Z
0.137641;0.021322;2016-01-02T01:45:00Z
0.1238769;0.02843;2016-01-02T02:00:00Z
0.1582847;0.021322;2016-01-02T02:15:00Z
0.1582847;0.071074;2016-01-02T02:30:00Z
0.1720488;0.092396;2016-01-02T02:45:00Z
0.1651692;0.120824;2016-01-02T03:00:00Z
0.1514051;0.035536;2016-01-02T03:15:00Z
0.1514051;0.014214;2016-01-02T03:30:00Z
0.1445206;0.02843;2016-01-02T03:45:00Z
0.1651692;-0.056858;2016-01-02T04:00:00Z
0.1307565;0.014214;2016-01-02T04:15:00Z
0.137641;0.056858;2016-01-02T04:30:00Z
0.0963487;-0.02843;2016-01-02T04:45:00Z
0.1101128;0.007108;2016-01-02T05:00:00Z
0.0825846;-0.035536;2016-01-02T05:15:00Z
0.1238769;0.014214;2016-01-02T05:30:00Z
0.1032283;0.063966;2016-01-02T05:45:00Z
0.1858129;0.127932;2016-01-02T06:00:00Z
0.9153102;0.135038;2016-01-02T06:15:00Z
1.1424154;0.135038;2016-01-02T06:30:00Z
1.0185385;0.042644;2016-01-02T06:45:00Z
1.087359;0.248756;2016-01-02T07:00:00Z
1.025423;0.07818;2016-01-02T07:15:00Z
0.8740179;0.007108;2016-01-02T07:30:00Z
0.8533693;0.113716;2016-01-02T07:45:00Z
1.2112359;0.561478;2016-01-02T08:00:00Z
0.6882001;0.298508;2016-01-02T08:15:00Z
0.9703666;-0.049752;2016-01-02T08:30:00Z
1.1355358;-0.071074;2016-01-02T08:45:00Z
0.9634821;-0.042644;2016-01-02T09:00:00Z
1.0529512;0.149254;2016-01-02T09:15:00Z
1.3970488;0.113716;2016-01-02T09:30:00Z
2.1609539;-0.014214;2016-01-02T09:45:00Z
2.3054794;0.021322;2016-01-02T10:00:00Z
2.4087077;0.312722;2016-01-02T10:15:00Z
3.7438205;0.163468;2016-01-02T10:30:00Z
2.6771052;-0.035536;2016-01-02T10:45:00Z
2.5807565;-0.042644;2016-01-02T11:00:00Z
1.2938205;0.085288;2016-01-02T11:15:00Z
2.6908693;0.021322;2016-01-02T11:30:00Z
1.7549154;0.18479;2016-01-02T11:45:00Z
1.3419924;0.191898;2016-01-02T12:00:00Z
0.887782;0.014214;2016-01-02T12:15:00Z
0.9910103;0.15636;2016-01-02T12:30:00Z
0.9015461;0.042644;2016-01-02T12:45:00Z
1.3832847;0.021322;2016-01-02T13:00:00Z
1.6860949;-0.035536;2016-01-02T13:15:00Z
1.7893281;0.120824;2016-01-02T13:30:00Z
2.3536513;0.191898;2016-01-02T13:45:00Z
2.2435385;0.255864;2016-01-02T14:00:00Z
2.5669924;0.049752;2016-01-02T14:15:00Z
1.9269642;0.042644;2016-01-02T14:30:00Z
1.9957847;0.0;2016-01-02T14:45:00Z
1.8719078;0.0;2016-01-02T15:00:00Z
2.6771052;0.007108;2016-01-02T15:15:00Z
2.9317435;0.056858;2016-01-02T15:30:00Z
3.124436;0.042644;2016-01-02T15:45:00Z
3.2345488;0.10661;2016-01-02T16:00:00Z
1.500282;0.248756;2016-01-02T16:15:00Z
0.887782;0.135038;2016-01-02T16:30:00Z
1.5346898;0.014214;2016-01-02T16:45:00Z
3.2758411;0.042644;2016-01-02T17:00:00Z
1.6516871;0.021322;2016-01-02T17:15:00Z
1.5071616;0.021322;2016-01-02T17:30:00Z
1.7205076;-0.014214;2016-01-02T17:45:00Z
1.0598308;0.127932;2016-01-02T18:00:00Z
2.0577256;0.092396;2016-01-02T18:15:00Z
1.5484539;0.135038;2016-01-02T18:30:00Z
2.5463487;0.0;2016-01-02T18:45:00Z
2.4637641;0.206112;2016-01-02T19:00:00Z
1.7067435;0.21322;2016-01-02T19:15:00Z
1.4383411;0.15636;2016-01-02T19:30:00Z
2.6082847;1.286424;2016-01-02T19:45:00Z
1.3488769;0.18479;2016-01-02T20:00:00Z
1.4039333;0.348258;2016-01-02T20:15:00Z
0.8808975;0.270078;2016-01-02T20:30:00Z
0.9634821;0.34115;2016-01-02T20:45:00Z
1.3075846;0.056858;2016-01-02T21:00:00Z
1.5209257;0.255864;2016-01-02T21:15:00Z
1.3213487;0.127932;2016-01-02T21:30:00Z
0.6331437;0.092396;2016-01-02T21:45:00Z
1.5966307;0.113716;2016-01-02T22:00:00Z
0.8189615;0.220326;2016-01-02T22:15:00Z
0.4335667;0.15636;2016-01-02T22:30:00Z
0.6193796;-0.007108;2016-01-02T22:45:00Z
0.7707847;-0.007108;2016-01-02T23:00:00Z
0.4266871;0.071074;2016-01-02T23:15:00Z
0.3303384;0.007108;2016-01-02T23:30:00Z
0.3647462;0.056858;2016-01-02T23:45:00Z
0.337218;0.135038;2016-01-03T00:00:00Z
0.3647462;-0.02843;2016-01-03T00:15:00Z
0.3991589;0.021322;2016-01-03T00:30:00Z
0.1858129;0.021322;2016-01-03T00:45:00Z
0.1858129;-0.007108;2016-01-03T01:00:00Z
0.1651692;0.063966;2016-01-03T01:15:00Z
0.1582847;-0.007108;2016-01-03T01:30:00Z
0.1238769;0.0;2016-01-03T01:45:00Z
0.1514051;0.071074;2016-01-03T02:00:00Z
0.1858129;-0.042644;2016-01-03T02:15:00Z
0.1789333;0.056858;2016-01-03T02:30:00Z
0.1651692;0.042644;2016-01-03T02:45:00Z
0.1651692;-0.02843;2016-01-03T03:00:00Z
0.0757001;-0.056858;2016-01-03T03:15:00Z
0.1169924;-0.035536;2016-01-03T03:30:00Z
0.0963487;-0.042644;2016-01-03T03:45:00Z
0.1032283;-0.071074;2016-01-03T04:00:00Z
0.1169924;-0.042644;2016-01-03T04:15:00Z
0.1307565;-0.042644;2016-01-03T04:30:00Z
0.1582847;0.021322;2016-01-03T04:45:00Z
0.2408693;-0.014214;2016-01-03T05:00:00Z
0.3165743;0.21322;2016-01-03T05:15:00Z
0.1101128;-0.035536;2016-01-03T05:30:00Z
0.2064615;-0.014214;2016-01-03T05:45:00Z
0.4404512;0.056858;2016-01-03T06:00:00Z
1.1492999;0.0;2016-01-03T06:15:00Z
1.424577;-0.042644;2016-01-03T06:30:00Z
0.9910103;0.014214;2016-01-03T06:45:00Z
1.1011231;0.270078;2016-01-03T07:00:00Z
0.9153102;0.085288;2016-01-03T07:15:00Z
0.8189615;0.035536;2016-01-03T07:30:00Z
1.1286513;0.099502;2016-01-03T07:45:00Z
0.9703666;0.07818;2016-01-03T08:00:00Z
0.8396052;0.163468;2016-01-03T08:15:00Z
0.8602538;0.035536;2016-01-03T08:30:00Z
1.0116589;0.021322;2016-01-03T08:45:00Z
1.1080076;-0.063966;2016-01-03T09:00:00Z
0.7914333;0.10661;2016-01-03T09:15:00Z
1.5415743;0.042644;2016-01-03T09:30:00Z
2.0783693;0.15636;2016-01-03T09:45:00Z
1.6516871;-0.035536;2016-01-03T10:00:00Z
1.8925564;-0.042644;2016-01-03T10:15:00Z
1.6860949;0.021322;2016-01-03T10:30:00Z
2.0301974;0.056858;2016-01-03T10:45:00Z
1.8856719;-0.007108;2016-01-03T11:00:00Z
1.9200846;0.02843;2016-01-03T11:15:00Z
2.2641871;0.092396;2016-01-03T11:30:00Z
2.9455076;-0.035536;2016-01-03T11:45:00Z
1.6585667;0.127932;2016-01-03T12:00:00Z
1.7549154;0.227434;2016-01-03T12:15:00Z
1.1424154;0.085288;2016-01-03T12:30:00Z
0.7639051;0.326936;2016-01-03T12:45:00Z
1.3832847;0.21322;2016-01-03T13:00:00Z
2.6220488;0.049752;2016-01-03T13:15:00Z
3.1175564;0.142146;2016-01-03T13:30:00Z
1.8581437;0.063966;2016-01-03T13:45:00Z
1.5278102;0.383794;2016-01-03T14:00:00Z
1.5828666;-0.056858;2016-01-03T14:15:00Z
1.5071616;-0.063966;2016-01-03T14:30:00Z
3.3308975;1.975832;2016-01-03T14:45:00Z
2.6151692;0.07818;2016-01-03T15:00:00Z
1.9820206;0.21322;2016-01-03T15:15:00Z
1.6792153;0.092396;2016-01-03T15:30:00Z
2.649577;0.035536;2016-01-03T15:45:00Z
2.6839897;-0.39801;2016-01-03T16:00:00Z
2.1403102;-0.035536;2016-01-03T16:15:00Z
3.7162923;2.3383;2016-01-03T16:30:00Z
2.8285103;1.79815;2016-01-03T16:45:00Z
3.3653102;1.421462;2016-01-03T17:00:00Z
3.3653102;1.577822;2016-01-03T17:15:00Z
1.2181204;0.234542;2016-01-03T17:30:00Z
2.2435385;0.15636;2016-01-03T17:45:00Z
1.8581437;0.348258;2016-01-03T18:00:00Z
1.7686795;0.540156;2016-01-03T18:15:00Z
2.0508411;-0.063966;2016-01-03T18:30:00Z
2.1953666;0.056858;2016-01-03T18:45:00Z
1.975141;0.063966;2016-01-03T19:00:00Z
1.3282283;-0.18479;2016-01-03T19:15:00Z
1.3970488;0.113716;2016-01-03T19:30:00Z
1.2662923;0.113716;2016-01-03T19:45:00Z
1.0391871;0.07818;2016-01-03T20:00:00Z
1.3351128;0.142146;2016-01-03T20:15:00Z
1.7686795;-0.063966;2016-01-03T20:30:00Z
1.9269642;-0.149254;2016-01-03T20:45:00Z
1.9682565;0.049752;2016-01-03T21:00:00Z
1.0460667;0.056858;2016-01-03T21:15:00Z
1.4865179;-0.035536;2016-01-03T21:30:00Z
1.163064;0.277186;2016-01-03T21:45:00Z
1.0735949;-0.085288;2016-01-03T22:00:00Z
0.750141;-0.035536;2016-01-03T22:15:00Z
0.6606719;0.241648;2016-01-03T22:30:00Z
0.750141;0.284292;2016-01-03T22:45:00Z
0.7363769;0.014214;2016-01-03T23:00:00Z
0.5436795;0.063966;2016-01-03T23:15:00Z
0.3578666;0.142146;2016-01-03T23:30:00Z
0.337218;0.092396;2016-01-03T23:45:00Z
0.3509821;0.113716;2016-01-04T00:00:00Z
0.3303384;0.014214;2016-01-04T00:15:00Z
0.5780922;0.191898;2016-01-04T00:30:00Z
0.8396052;0.298508;2016-01-04T00:45:00Z
0.5849718;0.2914;2016-01-04T01:00:00Z
0.1101128;0.07818;2016-01-04T01:15:00Z
0.1445206;0.07818;2016-01-04T01:30:00Z
0.1238769;0.02843;2016-01-04T01:45:00Z
0.4473308;0.021322;2016-01-04T02:00:00Z
0.4886231;0.042644;2016-01-04T02:15:00Z
0.1720488;0.099502;2016-01-04T02:30:00Z
0.1789333;0.071074;2016-01-04T02:45:00Z
0.5230358;0.042644;2016-01-04T03:00:00Z
0.3991589;0.099502;2016-01-04T03:15:00Z
0.1101128;0.071074;2016-01-04T03:30:00Z
0.3096898;0.099502;2016-01-04T03:45:00Z
0.3647462;-0.014214;2016-01-04T04:00:00Z
0.2339897;0.035536;2016-01-04T04:15:00Z
0.3234539;0.007108;2016-01-04T04:30:00Z
0.3509821;-0.007108;2016-01-04T04:45:00Z
0.3441025;0.149254;2016-01-04T05:00:00Z
0.4404512;0.056858;2016-01-04T05:15:00Z
0.2271052;-0.042644;2016-01-04T05:30:00Z
0.3234539;0.007108;2016-01-04T05:45:00Z
0.887782;0.170576;2016-01-04T06:00:00Z
1.9063205;0.348258;2016-01-04T06:15:00Z
1.4452256;0.362472;2016-01-04T06:30:00Z
1.286936;0.2914;2016-01-04T06:45:00Z
1.2456437;0.02843;2016-01-04T07:00:00Z
1.1699436;-0.014214;2016-01-04T07:15:00Z
1.3144642;0.014214;2016-01-04T07:30:00Z
1.5140461;-0.049752;2016-01-04T07:45:00Z
1.7549154;0.063966;2016-01-04T08:00:00Z
1.1424154;0.049752;2016-01-04T08:15:00Z
0.887782;0.021322;2016-01-04T08:30:00Z
1.6929794;0.021322;2016-01-04T08:45:00Z
0.8258411;-0.042644;2016-01-04T09:00:00Z
1.1424154;0.15636;2016-01-04T09:15:00Z
1.424577;0.234542;2016-01-04T09:30:00Z
1.0942435;0.191898;2016-01-04T09:45:00Z
1.0116589;0.18479;2016-01-04T10:00:00Z
1.5484539;0.0;2016-01-04T10:15:00Z
1.7273872;0.248756;2016-01-04T10:30:00Z
2.5188205;0.248756;2016-01-04T10:45:00Z
1.6035103;0.15636;2016-01-04T11:00:00Z
1.6035103;-0.035536;2016-01-04T11:15:00Z
1.9544924;-0.056858;2016-01-04T11:30:00Z
1.7342717;-0.049752;2016-01-04T11:45:00Z
1.8856719;-0.02843;2016-01-04T12:00:00Z
0.9634821;0.127932;2016-01-04T12:15:00Z
0.9566025;0.248756;2016-01-04T12:30:00Z
1.4727538;0.142146;2016-01-04T12:45:00Z
2.0990179;0.149254;2016-01-04T13:00:00Z
2.649577;0.383794;2016-01-04T13:15:00Z
2.3192435;0.362472;2016-01-04T13:30:00Z
1.3488769;0.099502;2016-01-04T13:45:00Z
1.3419924;0.142146;2016-01-04T14:00:00Z
0.6331437;0.163468;2016-01-04T14:15:00Z
1.5278102;0.234542;2016-01-04T14:30:00Z
2.3605358;0.092396;2016-01-04T14:45:00Z
1.8650282;0.035536;2016-01-04T15:00:00Z
2.0577256;-0.085288;2016-01-04T15:15:00Z
2.1953666;-0.170576;2016-01-04T15:30:00Z
2.3467717;1.066096;2016-01-04T15:45:00Z
1.0529512;0.0;2016-01-04T16:00:00Z
1.4589897;0.099502;2016-01-04T16:15:00Z
2.5394642;1.179814;2016-01-04T16:30:00Z
1.8512641;0.007108;2016-01-04T16:45:00Z
1.2043563;0.042644;2016-01-04T17:00:00Z
1.3282283;-0.049752;2016-01-04T17:15:00Z
1.0116589;0.127932;2016-01-04T17:30:00Z
