p;q;time
0.2622333;0.007738;2016-01-01T00:00:00Z
0.0974022;0.007738;2016-01-01T00:15:00Z
0.1048943;0.0;2016-01-01T00:30:00Z
0.082418;-0.023212;2016-01-01T00:45:00Z
0.1348627;0.054164;2016-01-01T01:00:00Z
0.0974022;0.038688;2016-01-01T01:15:00Z
0.1123864;0.069638;2016-01-01T01:30:00Z
0.1798153;0.069638;2016-01-01T01:45:00Z
0.1348627;-0.038688;2016-01-01T02:00:00Z
0.1198785;0.007738;2016-01-01T02:15:00Z
0.0524447;-0.023212;2016-01-01T02:30:00Z
0.1123864;0.03095;2016-01-01T02:45:00Z
0.157339;0.10059;2016-01-01T03:00:00Z
0.1648311;0.046426;2016-01-01T03:15:00Z
0.0899101;-0.046426;2016-01-01T03:30:00Z
0.0974022;-0.015476;2016-01-01T03:45:00Z
0.1423548;-0.046426;2016-01-01T04:00:00Z
0.1273706;0.015476;2016-01-01T04:15:00Z
0.1348627;0.015476;2016-01-01T04:30:00Z
0.1048943;-0.03095;2016-01-01T04:45:00Z
0.1123864;-0.046426;2016-01-01T05:00:00Z
0.1273706;-0.015476;2016-01-01T05:15:00Z
0.0599368;-0.046426;2016-01-01T05:30:00Z
0.1423548;-0.007738;2016-01-01T05:45:00Z
0.1873074;0.054164;2016-01-01T06:00:00Z
0.1273706;0.038688;2016-01-01T06:15:00Z
0.0749259;-0.015476;2016-01-01T06:30:00Z
0.0599368;-0.0619;2016-01-01T06:45:00Z
0.1423548;0.03095;2016-01-01T07:00:00Z
0.1648311;-0.007738;2016-01-01T07:15:00Z
0.1273706;-0.054164;2016-01-01T07:30:00Z
0.082418;-0.023212;2016-01-01T07:45:00Z
0.1273706;0.038688;2016-01-01T08:00:00Z
0.1198785;0.038688;2016-01-01T08:15:00Z
0.0749259;-0.015476;2016-01-01T08:30:00Z
0.1498469;-0.046426;2016-01-01T08:45:00Z
0.1498469;0.0;2016-01-01T09:00:00Z
0.1423548;0.023212;2016-01-01T09:15:00Z
0.0749259;-0.054164;2016-01-01T09:30:00Z
0.0899101;0.038688;2016-01-01T09:45:00Z
0.1423548;0.092852;2016-01-01T10:00:00Z
0.1648311;0.015476;2016-01-01T10:15:00Z
0.1123864;-0.03095;2016-01-01T10:30:00Z
0.0749259;-0.038688;2016-01-01T10:45:00Z
0.1273706;-0.03095;2016-01-01T11:00:00Z
