p;q;time
0.3225474;-0.02835;2016-01-01T00:00:00Z
0.9333324;0.425244;2016-01-01T00:15:00Z
0.8235283;0.120486;2016-01-01T00:30:00Z
0.5558805;0.021262;2016-01-01T00:45:00Z
0.6588246;0.049612;2016-01-01T01:00:00Z
0.6931393;0.063786;2016-01-01T01:15:00Z
0.494116;-0.035438;2016-01-01T01:30:00Z
0.4529413;0.077962;2016-01-01T01:45:00Z
0.4323515;0.0;2016-01-01T02:00:00Z
0.4323515;0.127574;2016-01-01T02:15:00Z
0.4323515;0.007088;2016-01-01T02:30:00Z
0.363727;-0.085048;2016-01-01T02:45:00Z
0.4186266;0.035438;2016-01-01T03:00:00Z
0.3843119;0.255146;2016-01-01T03:15:00Z
0.3431372;0.070874;2016-01-01T03:30:00Z
0.3500021;0.092136;2016-01-01T03:45:00Z
0.3431372;0.02835;2016-01-01T04:00:00Z
0.3362723;-0.021262;2016-01-01T04:15:00Z
0.3088225;0.21971;2016-01-01T04:30:00Z
0.2882376;0.120486;2016-01-01T04:45:00Z
0.247058;0.02835;2016-01-01T05:00:00Z
0.2745078;0.099224;2016-01-01T05:15:00Z
0.2950976;-0.021262;2016-01-01T05:30:00Z
0.3019625;0.29767;2016-01-01T05:45:00Z
0.2882376;0.099224;2016-01-01T06:00:00Z
0.1921584;0.007088;2016-01-01T06:15:00Z
0.2607829;0.021262;2016-01-01T06:30:00Z
0.2607829;0.049612;2016-01-01T06:45:00Z
0.1990184;-0.007088;2016-01-01T07:00:00Z
0.363727;0.0;2016-01-01T07:15:00Z
0.2676478;-0.021262;2016-01-01T07:30:00Z
0.7892136;0.262234;2016-01-01T07:45:00Z
0.857843;0.233884;2016-01-01T08:00:00Z
1.22843;0.758352;2016-01-01T08:15:00Z
0.3980368;0.226796;2016-01-01T08:30:00Z
0.3362723;-0.007088;2016-01-01T08:45:00Z
0.3225474;-0.035438;2016-01-01T09:00:00Z
0.4323515;0.198448;2016-01-01T09:15:00Z
0.3911768;-0.014174;2016-01-01T09:30:00Z
0.3500021;-0.049612;2016-01-01T09:45:00Z
0.3774519;0.049612;2016-01-01T10:00:00Z
0.2950976;0.02835;2016-01-01T10:15:00Z
0.3088225;-0.077962;2016-01-01T10:30:00Z
0.2539229;-0.070874;2016-01-01T10:45:00Z
0.247058;0.049612;2016-01-01T11:00:00Z
0.2539229;-0.021262;2016-01-01T11:15:00Z
0.2539229;-0.092136;2016-01-01T11:30:00Z
0.2676478;0.021262;2016-01-01T11:45:00Z
0.2333331;0.0567;2016-01-01T12:00:00Z
0.3088225;0.042524;2016-01-01T12:15:00Z
0.2539229;-0.077962;2016-01-01T12:30:00Z
0.3911768;0.24806;2016-01-01T12:45:00Z
0.3568621;0.099224;2016-01-01T13:00:00Z
0.6862744;-0.007088;2016-01-01T13:15:00Z
1.592157;0.092136;2016-01-01T13:30:00Z
0.3911768;0.092136;2016-01-01T13:45:00Z
0.8235283;0.035438;2016-01-01T14:00:00Z
1.4480382;0.0;2016-01-01T14:15:00Z
0.5009809;-0.063786;2016-01-01T14:30:00Z
0.8715679;0.042524;2016-01-01T14:45:00Z
0.7205891;0.02835;2016-01-01T15:00:00Z
1.2490198;0.16301;2016-01-01T15:15:00Z
0.8029434;0.148836;2016-01-01T15:30:00Z
0.3294123;0.070874;2016-01-01T15:45:00Z
0.8715679;0.0567;2016-01-01T16:00:00Z
0.8166683;-0.035438;2016-01-01T16:15:00Z
0.8921577;0.014174;2016-01-01T16:30:00Z
1.6950962;-0.077962;2016-01-01T16:45:00Z
2.079413;0.13466;2016-01-01T17:00:00Z
1.6470566;0.127574;2016-01-01T17:15:00Z
2.2852963;0.13466;2016-01-01T17:30:00Z
2.9578409;1.764764;2016-01-01T17:45:00Z
1.0431365;0.070874;2016-01-01T18:00:00Z
2.2303918;0.630778;2016-01-01T18:15:00Z
1.4960778;0.21971;2016-01-01T18:30:00Z
1.1735304;0.0567;2016-01-01T18:45:00Z
1.0019618;0.085048;2016-01-01T19:00:00Z
0.8921577;0.0;2016-01-01T19:15:00Z
1.2901945;0.446506;2016-01-01T19:30:00Z
0.9333324;0.0;2016-01-01T19:45:00Z
1.3107843;0.120486;2016-01-01T20:00:00Z
0.8235283;0.099224;2016-01-01T20:15:00Z
1.22843;0.02835;2016-01-01T20:30:00Z
1.0431365;0.007088;2016-01-01T20:45:00Z
0.7205891;0.007088;2016-01-01T21:00:00Z
0.6519597;0.049612;2016-01-01T21:15:00Z
0.6382348;-0.02835;2016-01-01T21:30:00Z
0.8509781;0.085048;2016-01-01T21:45:00Z
0.7274491;1.31117;2016-01-01T22:00:00Z
0.7549038;0.453594;2016-01-01T22:15:00Z
1.0500014;0.007088;2016-01-01T22:30:00Z
0.9058826;0.070874;2016-01-01T22:45:00Z
0.6931393;0.021262;2016-01-01T23:00:00Z
0.8029434;-0.02835;2016-01-01T23:15:00Z
0.6656846;-0.077962;2016-01-01T23:30:00Z
0.610785;0.0567;2016-01-01T23:45:00Z
0.6382348;0.113398;2016-01-02T00:00:00Z
0.981372;0.0;2016-01-02T00:15:00Z
1.5372525;0.042524;2016-01-02T00:30:00Z
0.4598062;0.021262;2016-01-02T00:45:00Z
0.2882376;0.085048;2016-01-02T01:00:00Z
0.2607829;-0.014174;2016-01-02T01:15:00Z
0.2813727;0.077962;2016-01-02T01:30:00Z
0.2676478;0.21971;2016-01-02T01:45:00Z
0.2058833;0.014174;2016-01-02T02:00:00Z
0.240198;0.014174;2016-01-02T02:15:00Z
0.2607829;0.021262;2016-01-02T02:30:00Z
0.3294123;-0.021262;2016-01-02T02:45:00Z
0.2813727;-0.007088;2016-01-02T03:00:00Z
0.2745078;0.148836;2016-01-02T03:15:00Z
0.2539229;0.120486;2016-01-02T03:30:00Z
0.2607829;-0.113398;2016-01-02T03:45:00Z
0.3088225;0.014174;2016-01-02T04:00:00Z
0.2607829;0.021262;2016-01-02T04:15:00Z
0.1990184;0.049612;2016-01-02T04:30:00Z
0.2264682;0.014174;2016-01-02T04:45:00Z
0.2882376;-0.02835;2016-01-02T05:00:00Z
0.3019625;0.007088;2016-01-02T05:15:00Z
0.240198;0.049612;2016-01-02T05:30:00Z
0.2745078;0.127574;2016-01-02T05:45:00Z
0.247058;0.120486;2016-01-02T06:00:00Z
0.3843119;0.099224;2016-01-02T06:15:00Z
0.2264682;0.042524;2016-01-02T06:30:00Z
0.2264682;0.014174;2016-01-02T06:45:00Z
0.240198;0.077962;2016-01-02T07:00:00Z
0.3568621;0.092136;2016-01-02T07:15:00Z
