p;q;time
0.5811801;0.0888748;2016-01-01T00:00:00Z
1.1005362;0.9903152;2016-01-01T00:15:00Z
1.1252658;1.18076;2016-01-01T00:30:00Z
1.2489276;0.0761768;2016-01-01T00:45:00Z
1.6817232;0.1396612;2016-01-01T01:00:00Z
2.2010724;0.8252636;2016-01-01T01:15:00Z
3.2521494;0.0507864;2016-01-01T01:30:00Z
1.9166682;-0.1650516;2016-01-01T01:45:00Z
1.8672021;0.0380884;2016-01-01T02:00:00Z
1.8548373;0.0;2016-01-01T02:15:00Z
1.8672021;0.1777496;2016-01-01T02:30:00Z
2.0032287;0.0380884;2016-01-01T02:45:00Z
1.929033;-0.0126952;2016-01-01T03:00:00Z
1.8301077;0.2285332;2016-01-01T03:15:00Z
1.7435472;0.1396612;2016-01-01T03:30:00Z
1.8053781;0.0634816;2016-01-01T03:45:00Z
2.0897823;0.4189808;2016-01-01T04:00:00Z
1.2118263;0.0634816;2016-01-01T04:15:00Z
0.8408616;0.0253932;2016-01-01T04:30:00Z
0.7172067;-0.0507864;2016-01-01T04:45:00Z
0.7048419;-0.1777496;2016-01-01T05:00:00Z
0.6553758;0.4443712;2016-01-01T05:15:00Z
0.816132;-0.1523564;2016-01-01T05:30:00Z
0.5688153;0.0;2016-01-01T05:45:00Z
0.5317209;0.0761768;2016-01-01T06:00:00Z
0.5688153;0.4062828;2016-01-01T06:15:00Z
0.2967759;-0.0888748;2016-01-01T06:30:00Z
0.2473098;0.0634816;2016-01-01T06:45:00Z
0.2473098;0.215838;2016-01-01T07:00:00Z
0.234945;0.1650516;2016-01-01T07:15:00Z
0.2102154;-0.0253932;2016-01-01T07:30:00Z
0.1483845;-0.0888748;2016-01-01T07:45:00Z
0.1607493;-0.10157;2016-01-01T08:00:00Z
0.2967759;-0.1777496;2016-01-01T08:15:00Z
0.234945;-0.114268;2016-01-01T08:30:00Z
0.234945;-0.0634816;2016-01-01T08:45:00Z
0.173121;0.0;2016-01-01T09:00:00Z
0.1483845;-0.0253932;2016-01-01T09:15:00Z
0.2596746;-0.10157;2016-01-01T09:30:00Z
0.2473098;0.114268;2016-01-01T09:45:00Z
0.234945;0.1523564;2016-01-01T10:00:00Z
0.1978506;-0.114268;2016-01-01T10:15:00Z
0.1483845;-0.0253932;2016-01-01T10:30:00Z
0.173121;-0.0888748;2016-01-01T10:45:00Z
0.2844111;0.0253932;2016-01-01T11:00:00Z
0.234945;-0.0761768;2016-01-01T11:15:00Z
0.2102154;-0.0634816;2016-01-01T11:30:00Z
0.1607493;-0.0761768;2016-01-01T11:45:00Z
0.1360197;0.0126952;2016-01-01T12:00:00Z
0.3091407;0.0507864;2016-01-01T12:15:00Z
3.3758043;0.1269632;2016-01-01T12:30:00Z
2.9059143;-0.3935876;2016-01-01T12:45:00Z
0.6677406;0.1269632;2016-01-01T13:00:00Z
0.5069913;-0.0888748;2016-01-01T13:15:00Z
0.5811801;-0.10157;2016-01-01T13:30:00Z
2.1145188;0.0761768;2016-01-01T13:45:00Z
2.8811847;-0.1269632;2016-01-01T14:00:00Z
0.6553758;0.330106;2016-01-01T14:15:00Z
1.3973121;-0.1396612;2016-01-01T14:30:00Z
1.5951627;0.0634816;2016-01-01T14:45:00Z
1.0881714;-0.114268;2016-01-01T15:00:00Z
3.3263451;0.1523564;2016-01-01T15:15:00Z
4.3403208;0.10157;2016-01-01T15:30:00Z
5.1069867;0.2412312;2016-01-01T15:45:00Z
3.5118309;0.114268;2016-01-01T16:00:00Z
1.9784922;-0.0507864;2016-01-01T16:15:00Z
2.4978483;0.2793196;2016-01-01T16:30:00Z
2.6091384;0.10157;2016-01-01T16:45:00Z
2.4731187;0.3681944;2016-01-01T17:00:00Z
2.8317186;0.5078556;2016-01-01T17:15:00Z
1.5704331;0.0507864;2016-01-01T17:30:00Z
3.0542988;0.4189808;2016-01-01T17:45:00Z
1.6569867;0.114268;2016-01-01T18:00:00Z
1.1994615;0.6602092;2016-01-01T18:15:00Z
1.1623671;-0.1269632;2016-01-01T18:30:00Z
1.3354812;0.114268;2016-01-01T18:45:00Z
1.3231164;-0.0253932;2016-01-01T19:00:00Z
1.3107516;0.3681944;2016-01-01T19:15:00Z
1.1005362;-0.114268;2016-01-01T19:30:00Z
0.9274221;0.0634816;2016-01-01T19:45:00Z
1.0263474;0.5205508;2016-01-01T20:00:00Z
1.0016109;0.5967276;2016-01-01T20:15:00Z
