p;q;time
0.48589;0.2242424;2016-01-01T00:00:00Z
0.456814;0.2616952;2016-01-01T00:15:00Z
0.495686;0.2459584;2016-01-01T00:30:00Z
0.460702;0.2753856;2016-01-01T00:45:00Z
0.5131;0.2498928;2016-01-01T01:00:00Z
0.466454;0.2616952;2016-01-01T01:15:00Z
0.511234;0.2695632;2016-01-01T01:30:00Z
0.466454;0.2498928;2016-01-01T01:45:00Z
0.526782;0.2420248;2016-01-01T02:00:00Z
0.460702;0.2538264;2016-01-01T02:15:00Z
0.417942;0.220308;2016-01-01T02:30:00Z
0.462568;0.2360448;2016-01-01T02:45:00Z
0.419808;0.2459584;2016-01-01T03:00:00Z
0.384824;0.2242424;2016-01-01T03:15:00Z
0.437378;0.220308;2016-01-01T03:30:00Z
0.36741;0.1987496;2016-01-01T03:45:00Z
0.28376;0.204572;2016-01-01T04:00:00Z
0.480136;0.1869472;2016-01-01T04:15:00Z
0.538444;0.1908816;2016-01-01T04:30:00Z
0.36741;0.1712112;2016-01-01T04:45:00Z
0.262458;0.1770336;2016-01-01T05:00:00Z
0.25655;0.1612976;2016-01-01T05:15:00Z
0.318744;0.1730992;2016-01-01T05:30:00Z
0.190468;0.1240024;2016-01-01T05:45:00Z
0.176942;0.1122;2016-01-01T06:00:00Z
0.178808;0.1416272;2016-01-01T06:15:00Z
0.190468;0.1101544;2016-01-01T06:30:00Z
0.32854;0.1594088;2016-01-01T06:45:00Z
0.499572;0.1633432;2016-01-01T07:00:00Z
0.419808;0.1830136;2016-01-01T07:15:00Z
0.266346;0.180968;2016-01-01T07:30:00Z
0.318744;0.2066176;2016-01-01T07:45:00Z
0.29542;0.188836;2016-01-01T08:00:00Z
0.371298;0.1652312;2016-01-01T08:15:00Z
0.410168;0.2163744;2016-01-01T08:30:00Z
0.384824;0.2163744;2016-01-01T08:45:00Z
0.363524;0.2163744;2016-01-01T09:00:00Z
0.637488;0.2714512;2016-01-01T09:15:00Z
0.390734;0.2852992;2016-01-01T09:30:00Z
0.412034;0.2714512;2016-01-01T09:45:00Z
0.342066;0.2538264;2016-01-01T10:00:00Z
0.598616;0.2675176;2016-01-01T10:15:00Z
0.55788;0.295056;2016-01-01T10:30:00Z
0.670606;0.3128376;2016-01-01T10:45:00Z
0.684132;0.3049696;2016-01-01T11:00:00Z
0.54031;0.2931672;2016-01-01T11:15:00Z
0.620074;0.308904;2016-01-01T11:30:00Z
0.571406;0.3482448;2016-01-01T11:45:00Z
0.647282;0.393408;2016-01-01T12:00:00Z
0.98935;0.422992;2016-01-01T12:15:00Z
0.604524;0.3658696;2016-01-01T12:30:00Z
