p;q;time
1.6763205;0.7848484;2016-01-01T00:00:00Z
1.5760083;0.9159332;2016-01-01T00:15:00Z
1.7101167;0.8608544;2016-01-01T00:30:00Z
1.5894219;0.9638496;2016-01-01T00:45:00Z
1.770195;0.8746248;2016-01-01T01:00:00Z
1.6092663;0.9159332;2016-01-01T01:15:00Z
1.7637573;0.9434712;2016-01-01T01:30:00Z
1.6092663;0.8746248;2016-01-01T01:45:00Z
1.8173979;0.8470868;2016-01-01T02:00:00Z
1.5894219;0.8883924;2016-01-01T02:15:00Z
1.4418999;0.771078;2016-01-01T02:30:00Z
1.5958596;0.8261568;2016-01-01T02:45:00Z
1.4483376;0.8608544;2016-01-01T03:00:00Z
1.3276428;0.7848484;2016-01-01T03:15:00Z
1.5089541;0.771078;2016-01-01T03:30:00Z
1.2675645;0.6956236;2016-01-01T03:45:00Z
0.978972;0.716002;2016-01-01T04:00:00Z
1.6564692;0.6543152;2016-01-01T04:15:00Z
1.8576318;0.6680856;2016-01-01T04:30:00Z
1.2675645;0.5992392;2016-01-01T04:45:00Z
0.9054801;0.6196176;2016-01-01T05:00:00Z
0.8850975;0.5645416;2016-01-01T05:15:00Z
1.0996668;0.6058472;2016-01-01T05:30:00Z
0.6571146;0.4340084;2016-01-01T05:45:00Z
0.6104499;0.3927;2016-01-01T06:00:00Z
0.6168876;0.4956952;2016-01-01T06:15:00Z
0.6571146;0.3855404;2016-01-01T06:30:00Z
1.133463;0.5579308;2016-01-01T06:45:00Z
1.7235234;0.5717012;2016-01-01T07:00:00Z
1.4483376;0.6405476;2016-01-01T07:15:00Z
0.9188937;0.633388;2016-01-01T07:30:00Z
1.0996668;0.7231616;2016-01-01T07:45:00Z
1.019199;0.660926;2016-01-01T08:00:00Z
1.2809781;0.5783092;2016-01-01T08:15:00Z
1.4150796;0.7573104;2016-01-01T08:30:00Z
1.3276428;0.7573104;2016-01-01T08:45:00Z
1.2541578;0.7573104;2016-01-01T09:00:00Z
2.1993336;0.9500792;2016-01-01T09:15:00Z
1.3480323;0.9985472;2016-01-01T09:30:00Z
1.4215173;0.9500792;2016-01-01T09:45:00Z
1.1801277;0.8883924;2016-01-01T10:00:00Z
2.0652252;0.9363116;2016-01-01T10:15:00Z
1.924686;1.032696;2016-01-01T10:30:00Z
2.3135907;1.0949316;2016-01-01T10:45:00Z
2.3602554;1.0673936;2016-01-01T11:00:00Z
1.8640695;1.0260852;2016-01-01T11:15:00Z
2.1392553;1.081164;2016-01-01T11:30:00Z
1.9713507;1.2188568;2016-01-01T11:45:00Z
2.2331229;1.376928;2016-01-01T12:00:00Z
3.4132575;1.480472;2016-01-01T12:15:00Z
2.0856078;1.2805436;2016-01-01T12:30:00Z
2.8430415;1.3703172;2016-01-01T12:45:00Z
3.6278268;1.2739328;2016-01-01T13:00:00Z
1.9380927;1.3356196;2016-01-01T13:15:00Z
2.5818006;1.2326244;2016-01-01T13:30:00Z
1.9515063;1.2877032;2016-01-01T13:45:00Z
1.6028286;1.1428508;2016-01-01T14:00:00Z
1.4349309;1.087772;2016-01-01T14:15:00Z
2.1660756;1.0740044;2016-01-01T14:30:00Z
3.2185326;1.0189256;2016-01-01T14:45:00Z
2.1258417;1.087772;2016-01-01T15:00:00Z
1.6967031;0.9638496;2016-01-01T15:15:00Z
1.3748526;0.9572388;2016-01-01T15:30:00Z
4.6266432;1.2254648;2016-01-01T15:45:00Z
3.4132575;1.1224724;2016-01-01T16:00:00Z
2.1456861;1.2739328;2016-01-01T16:15:00Z
1.6028286;1.0949316;2016-01-01T16:30:00Z
1.0798155;0.9913876;2016-01-01T16:45:00Z
2.9100888;0.9913876;2016-01-01T17:00:00Z
1.4885715;1.0189256;2016-01-01T17:15:00Z
1.5089541;0.9847796;2016-01-01T17:30:00Z
1.6629069;1.1979268;2016-01-01T17:45:00Z
1.6092663;1.2188568;2016-01-01T18:00:00Z
2.9100888;1.2254648;2016-01-01T18:15:00Z
2.1258417;1.1979268;2016-01-01T18:30:00Z
1.924686;1.2326244;2016-01-01T18:45:00Z
1.8710385;1.2254648;2016-01-01T19:00:00Z
2.977143;1.0949316;2016-01-01T19:15:00Z
1.7836017;0.7848484;2016-01-01T19:30:00Z
1.0529952;0.6680856;2016-01-01T19:45:00Z
0.945714;0.688464;2016-01-01T20:00:00Z
0.8920734;0.660926;2016-01-01T20:15:00Z
0.8046366;0.5854688;2016-01-01T20:30:00Z
0.8314569;0.5783092;2016-01-01T20:45:00Z
0.8786598;0.6471556;2016-01-01T21:00:00Z
1.5894219;0.5992392;2016-01-01T21:15:00Z
1.6162422;0.5579308;2016-01-01T21:30:00Z
0.757965;0.5094628;2016-01-01T21:45:00Z
0.7644027;0.4819248;2016-01-01T22:00:00Z
0.5900673;0.447776;2016-01-01T22:15:00Z
0.6168876;0.4890844;2016-01-01T22:30:00Z
0.6104499;0.4340084;2016-01-01T22:45:00Z
0.6973485;0.289156;2016-01-01T23:00:00Z
0.5632401;0.3100832;2016-01-01T23:15:00Z
0.6168876;0.475314;2016-01-01T23:30:00Z
0.5970363;0.4406164;2016-01-01T23:45:00Z
0.5836296;0.420238;2016-01-02T00:00:00Z
0.5632401;0.4340084;2016-01-02T00:15:00Z
0.570216;0.4543868;2016-01-02T00:30:00Z
0.5766537;0.4406164;2016-01-02T00:45:00Z
0.5632401;0.4064676;2016-01-02T01:00:00Z
0.5568093;0.4543868;2016-01-02T01:15:00Z
0.5568093;0.4406164;2016-01-02T01:30:00Z
0.5568093;0.4543868;2016-01-02T01:45:00Z
0.5632401;0.4615464;2016-01-02T02:00:00Z
0.5970363;0.5028548;2016-01-02T02:15:00Z
0.5568093;0.4406164;2016-01-02T02:30:00Z
0.5165754;0.3855404;2016-01-02T02:45:00Z
0.5230131;0.4340084;2016-01-02T03:00:00Z
0.5498334;0.4681544;2016-01-02T03:15:00Z
0.5165754;0.4340084;2016-01-02T03:30:00Z
0.5230131;0.4268488;2016-01-02T03:45:00Z
0.5836296;0.475314;2016-01-02T04:00:00Z
0.6571146;0.5441604;2016-01-02T04:15:00Z
0.5364198;0.420238;2016-01-02T04:30:00Z
0.5364198;0.4268488;2016-01-02T04:45:00Z
0.5299821;0.4543868;2016-01-02T05:00:00Z
0.6168876;0.3789296;2016-01-02T05:15:00Z
0.6839418;0.4681544;2016-01-02T05:30:00Z
0.6437079;0.4819248;2016-01-02T05:45:00Z
0.603474;0.4890844;2016-01-02T06:00:00Z
0.5031618;0.3855404;2016-01-02T06:15:00Z
0.5498334;0.4406164;2016-01-02T06:30:00Z
0.570216;0.4543868;2016-01-02T06:45:00Z
0.5970363;0.4340084;2016-01-02T07:00:00Z
0.5433957;0.420238;2016-01-02T07:15:00Z
0.5095995;0.3789296;2016-01-02T07:30:00Z
0.5632401;0.475314;2016-01-02T07:45:00Z
0.5568093;0.447776;2016-01-02T08:00:00Z
0.5230131;0.4064676;2016-01-02T08:15:00Z
0.5498334;0.420238;2016-01-02T08:30:00Z
0.5970363;0.447776;2016-01-02T08:45:00Z
0.5230131;0.4064676;2016-01-02T09:00:00Z
1.0326126;0.3855404;2016-01-02T09:15:00Z
0.8518395;0.37177;2016-01-02T09:30:00Z
0.8518395;0.5094628;2016-01-02T09:45:00Z
2.3135907;0.5645416;2016-01-02T10:00:00Z
2.373669;0.5579308;2016-01-02T10:15:00Z
0.7043244;0.4681544;2016-01-02T10:30:00Z
0.6437079;0.4890844;2016-01-02T10:45:00Z
0.7847853;0.4681544;2016-01-02T11:00:00Z
0.7043244;0.3789296;2016-01-02T11:15:00Z
1.2005103;0.4681544;2016-01-02T11:30:00Z
1.9112724;0.6196176;2016-01-02T11:45:00Z
1.9713507;0.6130068;2016-01-02T12:00:00Z
1.7567814;0.5920796;2016-01-02T12:15:00Z
0.8518395;0.5717012;2016-01-02T12:30:00Z
0.9591207;0.5094628;2016-01-02T12:45:00Z
1.5958596;0.4615464;2016-01-02T13:00:00Z
1.0798155;0.5370008;2016-01-02T13:15:00Z
1.2139239;0.6130068;2016-01-02T13:30:00Z
1.9445304;0.5645416;2016-01-02T13:45:00Z
1.9311237;0.5370008;2016-01-02T14:00:00Z
0.6909108;0.5507712;2016-01-02T14:15:00Z
1.8774762;0.5579308;2016-01-02T14:30:00Z
1.6092663;0.5507712;2016-01-02T14:45:00Z
2.2127403;0.5441604;2016-01-02T15:00:00Z
1.1399007;0.6471556;2016-01-02T15:15:00Z
0.7644027;0.6130068;2016-01-02T15:30:00Z
0.8582772;0.688464;2016-01-02T15:45:00Z
0.7644027;0.7231616;2016-01-02T16:00:00Z
0.8716839;0.6680856;2016-01-02T16:15:00Z
0.7375824;0.633388;2016-01-02T16:30:00Z
0.7445514;0.6130068;2016-01-02T16:45:00Z
0.8180433;0.660926;2016-01-02T17:00:00Z
0.757965;0.5783092;2016-01-02T17:15:00Z
1.4284932;0.5920796;2016-01-02T17:30:00Z
0.9993546;0.5854688;2016-01-02T17:45:00Z
1.2874158;0.6818532;2016-01-02T18:00:00Z
1.8978588;0.6130068;2016-01-02T18:15:00Z
1.7637573;0.6267772;2016-01-02T18:30:00Z
2.6150586;0.633388;2016-01-02T18:45:00Z
1.777164;0.6471556;2016-01-02T19:00:00Z
2.0518185;0.6196176;2016-01-02T19:15:00Z
1.2605955;0.688464;2016-01-02T19:30:00Z
1.4150796;0.709394;2016-01-02T19:45:00Z
1.3276428;0.6680856;2016-01-02T20:00:00Z
0.7509891;0.5579308;2016-01-02T20:15:00Z
0.6909108;0.4819248;2016-01-02T20:30:00Z
0.8046366;0.5783092;2016-01-02T20:45:00Z
0.7713786;0.5717012;2016-01-02T21:00:00Z
0.8046366;0.5370008;2016-01-02T21:15:00Z
0.757965;0.447776;2016-01-02T21:30:00Z
0.757965;0.5232332;2016-01-02T21:45:00Z
0.791223;0.5645416;2016-01-02T22:00:00Z
0.5836296;0.399308;2016-01-02T22:15:00Z
0.5836296;0.4268488;2016-01-02T22:30:00Z
0.5568093;0.3855404;2016-01-02T22:45:00Z
0.7509891;0.3029236;2016-01-02T23:00:00Z
0.4693725;0.316694;2016-01-02T23:15:00Z
0.5498334;0.3855404;2016-01-02T23:30:00Z
0.6302943;0.5028548;2016-01-02T23:45:00Z
0.6104499;0.4543868;2016-01-03T00:00:00Z
0.5836296;0.4819248;2016-01-03T00:15:00Z
0.4693725;0.4064676;2016-01-03T00:30:00Z
0.5095995;0.4340084;2016-01-03T00:45:00Z
0.4827792;0.4064676;2016-01-03T01:00:00Z
0.5031618;0.3927;2016-01-03T01:15:00Z
0.3690603;0.3304616;2016-01-03T01:30:00Z
0.5031618;0.4543868;2016-01-03T01:45:00Z
0.4227009;0.3513916;2016-01-03T02:00:00Z
0.4961928;0.420238;2016-01-03T02:15:00Z
0.4495212;0.399308;2016-01-03T02:30:00Z
0.4361145;0.3789296;2016-01-03T02:45:00Z
0.3620844;0.2963156;2016-01-03T03:00:00Z
0.4425453;0.365162;2016-01-03T03:15:00Z
0.4961928;0.4064676;2016-01-03T03:30:00Z
0.5031618;0.420238;2016-01-03T03:45:00Z
0.6168876;0.4130784;2016-01-03T04:00:00Z
0.6238566;0.5303928;2016-01-03T04:15:00Z
0.5031618;0.4543868;2016-01-03T04:30:00Z
1.4751579;0.4890844;2016-01-03T04:45:00Z
2.6488548;0.4543868;2016-01-03T05:00:00Z
0.7847853;0.4681544;2016-01-03T05:15:00Z
0.7241688;0.5094628;2016-01-03T05:30:00Z
0.5970363;0.420238;2016-01-03T05:45:00Z
0.5900673;0.5166224;2016-01-03T06:00:00Z
0.5230131;0.4615464;2016-01-03T06:15:00Z
0.4361145;0.344232;2016-01-03T06:30:00Z
0.5364198;0.3927;2016-01-03T06:45:00Z
0.415725;0.2963156;2016-01-03T07:00:00Z
0.415725;0.337624;2016-01-03T07:15:00Z
0.5095995;0.420238;2016-01-03T07:30:00Z
0.4425453;0.316694;2016-01-03T07:45:00Z
0.4559589;0.344232;2016-01-03T08:00:00Z
0.4827792;0.3855404;2016-01-03T08:15:00Z
0.5498334;0.4268488;2016-01-03T08:30:00Z
0.4023183;0.289156;2016-01-03T08:45:00Z
0.4425453;0.344232;2016-01-03T09:00:00Z
0.6302943;0.4268488;2016-01-03T09:15:00Z
0.6506769;0.3927;2016-01-03T09:30:00Z
0.6973485;0.3580024;2016-01-03T09:45:00Z
1.5422121;0.447776;2016-01-03T10:00:00Z
2.18592;0.4340084;2016-01-03T10:15:00Z
1.6897272;0.4340084;2016-01-03T10:30:00Z
0.6705282;0.5370008;2016-01-03T10:45:00Z
0.7107621;0.447776;2016-01-03T11:00:00Z
0.6168876;0.3580024;2016-01-03T11:15:00Z
0.5364198;0.3789296;2016-01-03T11:30:00Z
1.6162422;0.4340084;2016-01-03T11:45:00Z
0.5364198;0.37177;2016-01-03T12:00:00Z
0.4763415;0.3855404;2016-01-03T12:15:00Z
0.570216;0.447776;2016-01-03T12:30:00Z
0.3958806;0.3029236;2016-01-03T12:45:00Z
0.5031618;0.4340084;2016-01-03T13:00:00Z
0.4227009;0.3513916;2016-01-03T13:15:00Z
0.4763415;0.3789296;2016-01-03T13:30:00Z
0.4361145;0.3580024;2016-01-03T13:45:00Z
0.4092873;0.344232;2016-01-03T14:00:00Z
0.4897551;0.3789296;2016-01-03T14:15:00Z
0.4629348;0.3789296;2016-01-03T14:30:00Z
0.4023183;0.3304616;2016-01-03T14:45:00Z
0.4961928;0.4130784;2016-01-03T15:00:00Z
0.415725;0.365162;2016-01-03T15:15:00Z
0.3690603;0.3029236;2016-01-03T15:30:00Z
0.4559589;0.365162;2016-01-03T15:45:00Z
0.6437079;0.3927;2016-01-03T16:00:00Z
0.5364198;0.420238;2016-01-03T16:15:00Z
0.570216;0.5028548;2016-01-03T16:30:00Z
0.5498334;0.4956952;2016-01-03T16:45:00Z
0.5568093;0.3855404;2016-01-03T17:00:00Z
1.2675645;0.4268488;2016-01-03T17:15:00Z
1.8238356;0.4268488;2016-01-03T17:30:00Z
1.2471819;0.447776;2016-01-03T17:45:00Z
0.978972;0.4064676;2016-01-03T18:00:00Z
0.9323004;0.4268488;2016-01-03T18:15:00Z
0.570216;0.4615464;2016-01-03T18:30:00Z
0.570216;0.4406164;2016-01-03T18:45:00Z
0.6571146;0.5507712;2016-01-03T19:00:00Z
0.5031618;0.3789296;2016-01-03T19:15:00Z
0.4763415;0.37177;2016-01-03T19:30:00Z
0.4023183;0.2963156;2016-01-03T19:45:00Z
0.4693725;0.3789296;2016-01-03T20:00:00Z
