uuid;geo_position;id;length;node_a;node_b;olm_characteristic;operates_from;operates_until;operator;parallel_devices;type
bdbbb247-57b7-473b-9411-53fcf35032db;"{""type"":""LineString"",""coordinates"":[[11.8213,53.426],[11.8213,53.4257]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}";LV5.201 Line 27;0.0161277;093160c4-6482-4c58-b952-217c615e3ada;9cdb3115-cc00-4d61-bc33-442e8f30fb63;"olm:{(0.0,1.0)}";;;;1;9a8e9b63-af21-4c1b-8db7-fc2924f9610e
c48eeb2c-6858-4f96-9a90-20641cc0903d;"{""type"":""LineString"",""coordinates"":[[11.8214,53.4229],[11.8213,53.4225]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}";LV5.201 Line 35;0.0150703;002a4495-96e4-49c9-abbe-8fccb3e9c83e;b909fb45-b6ee-427f-afd7-e8a0ec7274c6;"olm:{(0.0,1.0)}";;;;1;9a8e9b63-af21-4c1b-8db7-fc2924f9610e
97e498ae-a4f7-4485-a703-b8c00d0a5e8a;"{""type"":""LineString"",""coordinates"":[[11.8198,53.4221],[11.8201,53.4225]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}";LV5.201 Line 8;0.0228449;b565ae3b-68f9-4bca-816d-9b0fc1c6b13f;a7725293-05fc-447f-bc12-38b689b0a956;"olm:{(0.0,1.0)}";;;;1;9a8e9b63-af21-4c1b-8db7-fc2924f9610e
f907f152-7bfe-4a17-a63f-adda500f6f0e;"{""type"":""LineString"",""coordinates"":[[11.8166,53.4241],[11.8184,53.4293]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}";LV5.201 Line 107;0.04;4749ab2b-4d96-4100-8081-73e77c797d6b;ea4a6507-e504-4542-be5f-1019719b2257;"olm:{(0.0,1.0)}";;;;1;9a8e9b63-af21-4c1b-8db7-fc2924f9610e
6bf14400-8f6c-41ef-b6a4-9e861a3ad08f;"{""type"":""LineString"",""coordinates"":[[11.8166,53.4241],[11.822,53.4294]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}";LV5.201 Line 3;0.030304;4749ab2b-4d96-4100-8081-73e77c797d6b;c5b6bfaf-1621-40a7-9c53-02cfb59c04d9;"olm:{(0.0,1.0)}";;;;1;9a8e9b63-af21-4c1b-8db7-fc2924f9610e
18b92b71-320d-4294-a47e-6715f1594755;"{""type"":""LineString"",""coordinates"":[[11.8196,53.4243],[11.8196,53.4247]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}";LV5.201 Line 102;0.0251089;f4da61e4-7600-4cd1-95b6-c70b56c049fc;e7908208-77b4-4059-806e-4857262992fc;"olm:{(0.0,1.0)}";;;;1;9a8e9b63-af21-4c1b-8db7-fc2924f9610e
4128307f-3e00-4da9-b629-b696b72165a4;"{""type"":""LineString"",""coordinates"":[[11.815,53.4289],[11.815,53.4293]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}";LV5.201 Line 28;0.0377768;8e809cf6-7e05-437c-89a6-f6ca135a403b;35748e60-3be8-4930-8a61-209fd5df1bec;"olm:{(0.0,1.0)}";;;;1;9a8e9b63-af21-4c1b-8db7-fc2924f9610e
92876b53-6bbc-48ff-ba5f-5f5c08313e4d;"{""type"":""LineString"",""coordinates"":[[11.815,53.4277],[11.815,53.4272]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}";LV5.201 Line 111;0.031;3e6be3ac-2b51-4080-b815-391313612fc7;78815cf6-70db-432c-96e6-87fe8cf67eee;"olm:{(0.0,1.0)}";;;;1;9a8e9b63-af21-4c1b-8db7-fc2924f9610e
4b557d0c-9992-48b1-b45e-26cccc01db03;"{""type"":""LineString"",""coordinates"":[[11.8191,53.4235],[11.8191,53.4231]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}";LV5.201 Line 90;0.00167204;f2724954-34d3-4ddf-b6b0-7a1531639990;2efac9b1-fb0d-4e08-bfac-501798826deb;"olm:{(0.0,1.0)}";;;;1;9a8e9b63-af21-4c1b-8db7-fc2924f9610e
0652d3e0-8c7c-4be2-9a41-00534aa9774b;"{""type"":""LineString"",""coordinates"":[[11.8191,53.4212],[11.8191,53.4209]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}";LV5.201 Line 94;0.00182131;02e63e81-2e62-4ef6-8fdb-0b0905a437b6;fd4bebb8-40ca-4eed-92c0-cdd10b86ac20;"olm:{(0.0,1.0)}";;;;1;9a8e9b63-af21-4c1b-8db7-fc2924f9610e
