"uuid","geo_position","id","length","node_a","node_b","olm_characteristic","operates_from","operates_until","operator","parallel_devices","type"
ca425259-fab4-4dc1-99c9-c19031121645,,LTG_NS_NET146_F2_(4)-NS_NET146_F2_(5),0.020999999716877937,369cffa5-bcee-4489-8193-1d9b10230eca,0228ffcd-f6bc-47c8-b26c-fcc0abacd963,"olm:{(0.00,1.00)}",,,,1,c3e20038-888d-4d19-91d0-9732110ff433
5753e615-c90a-4008-92ec-b50c8195f95f,,LTG_NS_NET146_F3_(27)-NS_NET146_F3_(28),0.03099999949336052,55caf2ec-a21b-4afd-8830-1e4009cce396,c72a08bc-4685-49b1-b8ef-803aebc8c388,"olm:{(0.00,1.00)}",,,,1,e4d237c9-b025-4838-8b12-34bbf1265fb9
ce8ea248-dbcb-40b9-a97d-22452032ad27,,LTG_NS_NET146_F3_(11)-NS_NET146_F3_(12),0.019999999552965164,e2267696-669b-48e8-b43a-37d0db95011d,f6eff0d1-af6b-46ce-b430-4d30976ec08f,"olm:{(0.00,1.00)}",,,,1,3cde9801-6334-4e0d-8994-6d18b3906a71
1cf0cb95-28b9-4dc1-82b9-3466d7d870cc,,LTG_NS_NET146_F3_(25)-NS_NET146_F3_(26),0.026000000536441803,c6c177b0-5004-4db0-8cde-6293330a4757,bd288184-99d8-4233-bb3d-484f3922200a,"olm:{(0.00,1.00)}",,,,1,f181cb5c-2234-49d5-9e3f-d21f14963074
ab7c6c3c-3b7f-4475-8cad-27657bc148c6,,LTG_NS_NET146_F2_(2)-NS_NET146_F2_(1),0.028999999165534973,69efeb2d-9845-49ac-8500-5e017a7a64ef,2c520ab6-507e-4dcf-ab05-8f238e9b9385,"olm:{(0.00,1.00)}",,,,1,82bc6482-24eb-42dd-8dc3-e05b86696a22
b302dc76-9715-45b6-b6ef-8da630acd168,,LTG_NS_NET146_F2_(20)-NS_NET146_F2_(21),0.02500000037252903,2aa2d409-8bb2-477d-ac7a-6439552e136a,bd292f64-65e8-42ec-9b78-b9b9f013750e,"olm:{(0.00,1.00)}",,,,1,03877157-9a63-40f9-a4ba-12b86cf2ccd4
2ea48cfa-0a0b-48f0-aa66-b619c35b9929,,LTG_NS_NET146_F3_(14)-NS_NET146_F3_(15),0.029999999329447746,3dec12fd-3dc6-481d-be05-8df9df7f0c5d,d07dc1b0-e29a-452a-84c5-7df7b0bb3141,"olm:{(0.00,1.00)}",,,,1,12ccc9e0-9987-4c1c-b176-84574ab2d262
ca765f8e-2a05-40fb-80b8-41e02887fa46,,LTG_NS_NET146_F3_(19)-NS_NET146_F3_(20),0.019999999552965164,810bebb0-0d5c-4899-b213-3207be661248,0ebf0088-f596-4cd1-9ae0-5da02dc40335,"olm:{(0.00,1.00)}",,,,1,cb8e491b-e99f-4a68-a0e0-dfa07b77ca7f
932d9fab-9b07-4948-9d65-4945c7700a72,,LTG_NS_NET146_F1_(19)-NS_NET146_F1_(20),0.04399999976158142,1f040625-ad1d-409f-bd7e-944c4d805e46,7d45f0ab-1e6b-452f-b665-c4846cf046f5,"olm:{(0.00,1.00)}",,,,1,97a2a008-5c56-41d4-bef2-f1af45f2925b
ab23d369-ff75-41b4-8a25-25ec9c4320aa,,LTG_NS_NET146_F3_(17)-NS_NET146_F3_(18),0.020999999716877937,0f3ba59d-a9ce-4669-aa12-bebec42238b7,85ec9277-c5fd-4e5b-8a34-9627d9599ad7,"olm:{(0.00,1.00)}",,,,1,7eb50926-f5b2-4fc4-b293-c679eaf19f65
