"uuid","geo_position","id","operates_from","operates_until","operator","slack","subnet","v_rated","v_target","volt_lvl"
b7a5be0d-2662-41b2-99c6-3b8121a75e9e,,NS_NET146_F3_(31),,,,false,146,0.4,1.0,Niederspannung
e3c3c6a3-c383-4dbb-9b3f-a14125615386,,NS_NET146_F1_(6),,,,false,146,0.4,1.0,Niederspannung
ead38a50-b8f7-4bbb-b65d-f54350825e8e,,NS_NET146_F4_(1),,,,false,146,0.4,1.0,Niederspannung
1ee9de9a-0095-4b58-beeb-e56fb908844a,,NS_NET146_F1_(22),,,,false,146,0.4,1.0,Niederspannung
904c7476-5f16-4ec2-9138-7d5e32d38a3b,,NS_NET146_F1_(39),,,,false,146,0.4,1.0,Niederspannung
5071dd8c-bbc1-4c8d-a180-4492f80e183d,,NS_NET146_F2_(6),,,,false,146,0.4,1.0,Niederspannung
1a1e63f7-6196-4856-9f4e-876a44bdf2f8,,NS_NET146_F1_(23),,,,false,146,0.4,1.0,Niederspannung
b73208dd-f4a8-4e90-bf2d-7ea67a89525a,,NS_NET146_F1_(14),,,,false,146,0.4,1.0,Niederspannung
fa6d5184-b205-4b1b-839f-7b21ac956c29,,MS4_06,,,,true,14,20.0,1.0,Mittelspannung
666757e2-292e-473c-ac9c-04c0786574bc,,NS_NET146_F1_(11),,,,false,146,0.4,1.0,Niederspannung
22e58399-428f-4633-9ee4-e5fa0db68d6d,,NS_NET146_F3_(1),,,,false,146,0.4,1.0,Niederspannung
2287c2a8-c2d0-4c63-80b5-6b66a1288df8,,NS_NET146_F1_(25),,,,false,146,0.4,1.0,Niederspannung
40537c84-c812-4231-bd23-0ba81922e937,,NS_NET146_F2_(17),,,,false,146,0.4,1.0,Niederspannung
f1cef042-1fc4-4bd8-b17f-dfbded4f2aaa,,NS_NET146_F2_(7),,,,false,146,0.4,1.0,Niederspannung
792b505c-87ab-4665-a31d-b6035c5ece70,,NS_NET146_F2_(8),,,,false,146,0.4,1.0,Niederspannung
0d94a5ea-3a13-48ba-a27f-b2903841c334,,NS_NET146_F1_(17),,,,false,146,0.4,1.0,Niederspannung
41414318-73e3-4bdc-8147-570a96b28d37,,NS_NET146_F2_(10),,,,false,146,0.4,1.0,Niederspannung
e2267696-669b-48e8-b43a-37d0db95011d,,NS_NET146_F3_(11),,,,false,146,0.4,1.0,Niederspannung
dd9d4153-c56f-4457-ad5e-46a48d4486b6,,NS_NET146_F1_(4),,,,false,146,0.4,1.0,Niederspannung
b37ea333-65e1-4211-8449-993b67e8e0e2,,NS_NET146_F4_(2),,,,false,146,0.4,1.0,Niederspannung
bea7ca63-3ae4-4280-8127-fe2c7fd5ea2d,,NS_NET146_F4_(7),,,,false,146,0.4,1.0,Niederspannung
67c1746c-3af8-403f-983e-1c7c047383df,,NS_NET146_F1_(7),,,,false,146,0.4,1.0,Niederspannung
32507a10-1eed-4a3f-820c-bc187f3b052e,,NS_NET146_F1_(38),,,,false,146,0.4,1.0,Niederspannung
d5489e1b-0e7e-4ca9-a362-09c23576a622,,NS_NET146_F1_(8),,,,false,146,0.4,1.0,Niederspannung
0f3ba59d-a9ce-4669-aa12-bebec42238b7,,NS_NET146_F3_(17),,,,false,146,0.4,1.0,Niederspannung
3da4fd3d-ac5e-409d-91fa-36516673cf57,,NS_NET146_ONS,,,,false,146,0.4,1.0,Niederspannung
0ebf0088-f596-4cd1-9ae0-5da02dc40335,,NS_NET146_F3_(20),,,,false,146,0.4,1.0,Niederspannung
155bb2dc-0121-413e-ab42-67c2ed5ce6ea,,NS_NET146_F4_(17),,,,false,146,0.4,1.0,Niederspannung
bdf97a4d-622c-4251-8183-8b1a696f376e,,NS_NET146_F3_(13),,,,false,146,0.4,1.0,Niederspannung
2c520ab6-507e-4dcf-ab05-8f238e9b9385,,NS_NET146_F2_(1),,,,false,146,0.4,1.0,Niederspannung
8f80e777-ccbd-4630-b10e-238e824113fd,,NS_NET146_F1_(36),,,,false,146,0.4,1.0,Niederspannung
