uuid,graphic_layer,node,path,point
33b5bbcc-1274-4bf2-8b03-e46eba03f7d1,Standard,5dfd45b8-48e7-42fd-ac53-cc57455486b5,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.84180791,0.36885246],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
e6260eb6-1993-4b2f-9da4-6ac480f41954,Standard,792b505c-87ab-4665-a31d-b6035c5ece70,"{""type"":""LineString"",""coordinates"":[[12.8273,52.2895],[12.8273,52.2895]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.88135593,0.77868852],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
929a85d7-16c2-48a3-9b4c-0b856f935098,Standard,d2aff632-fc26-4595-931c-92e266247ac8,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.72881356,0.36885246],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
b73cff24-aa97-493e-9da3-8aa3ad414215,Standard,99e26ef8-75e2-46f3-aafc-6287bf5e3905,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.87570621,0.36885246],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
1b58f786-a0a1-436f-98ff-0a8005e4b1cb,Standard,69f7846e-d979-4c77-8a3b-e2ec2e1f6e76,"{""type"":""LineString"",""coordinates"":[[0.07909605,0.14754098],[0.11299435,0.14754098]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[7.4116482,51.4843281],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
cd072bd5-77ed-4708-8b42-41123054a4a0,Standard,6a4547a8-630b-46e4-8144-9cd649e67c07,"{""type"":""LineString"",""coordinates"":[[12.8273,52.2895],[12.8273,52.2895]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.81920904,0.04918033],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
098f365b-4ec3-472c-b137-2525bfa4a7af,Standard,b7a5be0d-2662-41b2-99c6-3b8121a75e9e,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.62146893,0.67213115],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
56191c65-c5b3-474c-bed2-291c8104fdf7,Standard,443c1513-fdeb-4e29-ae89-5ea47c0b1d3f,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.63841808,0.14754098],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
f3fec03e-9f9f-4446-8be2-83a9b518ae3b,Standard,52e15712-2572-442a-b22c-add48af95115,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.76271186,0.25409836],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
6c94d627-6100-4aec-9a3e-6e04edf1d2fc,Standard,69efeb2d-9845-49ac-8500-5e017a7a64ef,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.94915254,0.77868852],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
6d79e6bf-0fd6-47cf-84e1-af8c355a09c8,Standard,773aebe4-fc03-46be-8209-0213e2760a8e,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.70056497,0.67213115],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
b25beaf6-0637-43a3-b226-ed4c032009b4,Standard,285a4caa-2da8-4bd2-8a60-7d04f168f378,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.95480226,0.14754098],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
0103c715-ad75-42c6-a64f-f17fe46280e2,Standard,1bf26b4d-03cc-4490-8c33-d3db8597d807,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.69491525,0.14754098],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
c19514ea-fa93-4979-bf9d-23fafe71eac2,Standard,0228ffcd-f6bc-47c8-b26c-fcc0abacd963,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.91525424,0.77868852],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
