uuid,graphic_layer,line,path
8ae601e8-3dcf-497e-a258-d8ac976e95e8,Standard,106f03b3-b84e-4d36-ab09-13b3dc3403e7,"{""type"":""LineString"",""coordinates"":[[0.20338983,0.1557377],[0.25423729,0.1557377],[0.22881291,0.1557377]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
bd830d87-73b0-44c8-9250-26afd33ac4f5,Standard,10c6a103-3132-4324-8f76-8c1858d51fcb,"{""type"":""LineString"",""coordinates"":[[0.20338983,0.24590164],[0.17514124,0.24590164],[0.14689266,0.24590164]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
26138708-ff02-48c2-a465-a8b5e5d165a8,Standard,25a1e96e-b425-48bf-a3ae-dc54ea9da47f,"{""type"":""LineString"",""coordinates"":[[0.03954802,0.27868852],[0.03954802,0.17213115],[0.03954802,0.06557377],[0.09039548,0.06557377]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
d923185a-03a0-484b-a66d-08f4757aadf7,Standard,2d552f15-6871-4e09-84b1-003da098d909,"{""type"":""LineString"",""coordinates"":[[0.09039548,0.1557377],[0.11864407,0.1557377],[0.14689266,0.1557377]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
eb5e4437-0f18-43c1-9e51-51bcfc038bea,Standard,37c8ebe1-5d29-4806-a84a-fc00e4279fa6,"{""type"":""LineString"",""coordinates"":[[0.22881291,0.06557377],[0.25423729,0.06557377],[0.20338983,0.06557377]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
75e06780-090a-411f-a47c-47c5a90a2e09,Standard,4bdb6569-72da-4d60-97b1-b5a639032d5d,"{""type"":""LineString"",""coordinates"":[[0.25423729,0.24590164],[0.28248588,0.24590164],[0.31073446,0.24590164]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
723fb8fc-90ff-44d5-9c21-88a9f194e83a,Standard,5d1176ac-e64e-4811-8d0c-c87d9060ba2a,"{""type"":""LineString"",""coordinates"":[[0.09039548,0.1557377],[0.05084746,0.27868852],[0.05084746,0.21721405],[0.05084746,0.1557377]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
90ad029a-358f-4f05-8a01-62820461dbb2,Standard,814dec01-f6f2-4817-8f83-2e758011b033,"{""type"":""LineString"",""coordinates"":[[0.09039548,0.24590164],[0.06214689,0.27868852],[0.06214689,0.24590164],[0.06214689,0.26229508]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
79edb34f-6eea-4190-a0d4-2664ace2deb8,Standard,8bb29769-404b-4bf6-837e-f9ca1b389bf9,"{""type"":""LineString"",""coordinates"":[[0.17514124,0.06557377],[0.14689266,0.06557377],[0.20338983,0.06557377]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
90344d84-9485-4986-93e1-e94d73ee0aa3,Standard,91179f48-2d6c-4ae4-864c-d667f57a6e66,"{""type"":""LineString"",""coordinates"":[[0.09039548,0.24590164],[0.11864407,0.24590164],[0.14689266,0.24590164]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
31dab450-fe89-4ede-99e2-cba361671910,Standard,b714db4a-db55-4957-b503-2300559bb81f,"{""type"":""LineString"",""coordinates"":[[0.20338983,0.1557377],[0.14689266,0.1557377],[0.17514124,0.1557377]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
79a153b2-2b64-4b59-bbe5-946a3c0073bd,Standard,c3206971-b22f-4090-826b-e08d4bc8ffad,"{""type"":""LineString"",""coordinates"":[[0.20338983,0.24590164],[0.25423729,0.24590164],[0.22881421,0.24590164]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
6dd7072b-da09-4d47-a7ad-a57389a918f9,Standard,cba98774-b8c6-45f4-84cc-2fde121a77fa,"{""type"":""LineString"",""coordinates"":[[0.14689266,0.06557377],[0.11864407,0.06557377],[0.09039548,0.06557377]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
74887fe3-c3a5-4919-8b77-743e3f2c5bd4,Standard,d48db7e8-5fde-456f-8b17-02d18a5a2e32,"{""type"":""LineString"",""coordinates"":[[0.31073446,0.1557377],[0.25423729,0.1557377],[0.28248588,0.1557377]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
a8cd181f-6834-437f-aa9e-6b165504b870,Standard,f0d4491e-eb64-49a0-8fc3-44fa5bd9dcee,"{""type"":""LineString"",""coordinates"":[[0.31073446,0.06557377],[0.25423729,0.06557377],[0.28248588,0.06557377]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
