uuid,graphic_layer,node,path,point
08d4e2ec-8532-4327-9d9d-aa51393d53e8,Standard,31a2b9bf-e785-4475-aa44-1c34646e8c79,"{""type"":""LineString"",""coordinates"":[[0.03389831,0.27868852],[0.06779661,0.27868852]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[7.4116482,51.4843281],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
cc657d07-3495-45b8-a90b-76769e14f2d8,Standard,8a50fb37-81cf-47c9-8850-a12b4391e2e7,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.09039548,0.24590164],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
0434dc12-6149-4832-a288-6620ee0389f2,Standard,3e21f3a1-2c9c-4138-bcc9-466b004609ed,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.14689266,0.24590164],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
f7e1e922-52d3-469f-98c6-5353a5d74641,Standard,e4c8b492-965c-4b5a-8d14-e8ff2c027ce9,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.20338983,0.24590164],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
a485471a-ad4f-4ca8-b960-ebf1a5504fd4,Standard,b3a7431d-89b0-41cb-87a9-5853890796cd,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.25423729,0.24590164],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
3080afb0-0cdc-4641-ae10-71c05a48fa0f,Standard,92301422-94ae-48ab-89c7-a69eea9450b2,"{""type"":""LineString"",""coordinates"":[[12.8273,52.2895],[12.8273,52.2895]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.31073446,0.24590164],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
f17d8fce-ffcf-4214-af18-af2bb64985b0,Standard,39112046-8953-4e73-a5d9-6a8183a77436,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.09039548,0.1557377],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
c67ff8a5-d296-47db-970a-4f6b2ab7c77a,Standard,d53ff076-dadd-44f8-85d4-68f48991f7d0,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.14689266,0.1557377],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
7bf5033d-efa1-4b45-b885-4c22ede1336d,Standard,df9c3d91-41a0-4e49-bb1f-1cd2a8fd9a2e,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.20338983,0.1557377],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
5cb93639-bc3a-4e87-bd02-1d8e16680219,Standard,e05c68b1-11cd-43fd-a4b2-31e4db380c78,"{""type"":""LineString"",""coordinates"":[[7.4116482,51.4843281],[7.4116482,51.4843281]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}","{""type"":""Point"",""coordinates"":[0.25423729,0.1557377],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:0""}}}"
