washing_machine,dish_washer,dryer,stove,fridge,freezer,television,video_recorder,pc,telecommunication,lighting,water_heating,other_load
100,80,2000,700,125,130,150,30,130,40,60,18000,55
2000,2000,2000,700,1,1,150,30,130,40,60,0,0
900,80,2000,700,1,1,150,30,130,40,60,0,0
100,80,1600,700,125,130,150,30,130,40,60,0,0
100,80,1300,0,1,1,150,30,130,40,0,0,0
300,2000,940,0,1,1,150,30,130,40,0,0,0
50,300,0,0,125,130,0,30,130,40,0,0,0
0,150,0,0,1,1,0,30,130,40,0,0,0
0,0,0,0,1,1,0,0,0,40,0,0,0
0,0,0,0,125,130,0,0,0,40,0,0,0
0,0,0,0,1,1,0,0,0,40,0,0,0
0,0,0,0,1,1,0,0,0,40,0,0,0
0,0,0,0,125,130,0,0,0,40,0,0,0
0,0,0,0,1,1,0,0,0,40,0,0,0
0,0,0,0,1,1,0,0,0,40,0,0,0
0,0,0,0,125,130,0,0,0,40,0,0,0
0,0,0,0,1,1,0,0,0,40,0,0,0
0,0,0,0,1,1,0,0,0,40,0,0,0
0,0,0,0,125,130,0,0,0,40,0,0,0
0,0,0,0,1,1,0,0,0,40,0,0,0
0,0,0,0,1,1,0,0,0,40,0,0,0
0,0,0,0,125,130,0,0,0,40,0,0,0
0,0,0,0,1,1,0,0,0,40,0,0,0
0,0,0,0,1,1,0,0,0,40,0,0,0
0,0,0,0,125,130,0,0,0,40,0,0,0
0,0,0,0,1,1,0,0,0,40,0,0,0
