summer_weekday;summer_saturday;summer_sunday;winter_weekday;winter_saturday;winter_sunday
0.001;0;0.014;0.005;0.011;0
0.002;0;0;0.003;0.022;0.005
0;0;0;0;0.022;0.018
0;0;0;0;0;0.009
0;0;0;0;0;0.004
0;0;0;0;0;0.004
0.04;0;0.014;0.003;0.022;0.015
0.036;0.005;0.005;0.022;0.022;0.005
0.04;0.015;0.03;0.054;0.033;0.005
0.02;0.053;0.041;0.049;0.056;0.036
0.068;0.102;0.082;0.033;0.089;0.091
0.032;0.097;0.068;0.054;0.089;0.091
0.04;0.049;0.055;0.049;0.078;0.109
0.08;0.097;0.082;0.049;0.078;0.054
0.12;0.146;0.11;0.082;0.112;0.154
0.08;0.087;0.055;0.109;0.096;0.091
0.06;0.049;0.055;0.054;0.045;0.073
0.04;0.049;0.082;0.027;0.067;0.054
0.06;0.039;0.088;0.049;0.033;0.045
0.12;0.049;0.041;0.082;0.022;0.036
0.1;0.063;0.049;0.131;0.033;0.045
0.04;0.058;0.068;0.082;0.033;0.027
0.02;0.034;0.041;0.049;0.022;0.018
0.004;0.01;0.019;0.014;0.011;0.009
