summer_weekday;summer_saturday;summer_sunday;winter_weekday;winter_saturday;winter_sunday
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0.006;0
0;0;0;0;0.006;0
0;0;0;0;0;0
0.011;0;0;0;0;0
0.034;0;0;0;0.057;0
0.057;0.048;0;0;0.017;0
0.091;0.048;0;0.008;0.006;0.004
0.102;0.024;0.035;0.04;0.029;0.036
0.091;0.071;0.083;0.032;0.029;0.029
0.08;0.143;0.139;0.065;0.046;0.128
0.136;0.119;0.069;0.105;0.069;0.128
0.091;0.071;0.021;0.242;0.171;0.146
0.045;0.071;0.007;0.081;0.229;0.073
0.023;0.024;0.028;0.008;0.057;0.066
0.034;0.071;0.139;0.008;0.114;0.066
0.08;0.024;0.125;0.024;0.103;0.044
0.057;0.071;0.118;0.032;0.029;0.036
0.011;0.119;0.083;0.048;0.014;0.026
0.023;0.048;0.125;0.121;0.009;0.044
0.023;0.038;0.021;0.105;0.006;0.109
0.011;0.01;0.007;0.081;0.006;0.066
