summer_weekday;summer_saturday;summer_sunday;winter_weekday;winter_saturday;winter_sunday
0;0;0;0;0;0
0;0;0;0;0;0
0.002;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0.022;0;0;0.007;0.003;0
0.035;0.007;0.004;0.032;0.009;0.002
0.026;0.03;0.029;0.035;0.021;0.011
0.031;0.052;0.066;0.035;0.036;0.04
0.031;0.067;0.088;0.039;0.053;0.086
0.044;0.078;0.088;0.046;0.065;0.12
0.096;0.137;0.195;0.123;0.131;0.211
0.148;0.16;0.195;0.168;0.172;0.208
0.096;0.093;0.074;0.105;0.128;0.086
0.078;0.052;0.033;0.035;0.047;0.029
0.074;0.045;0.029;0.028;0.045;0.023
0.07;0.037;0.022;0.042;0.045;0.023
0.052;0.045;0.022;0.063;0.047;0.034
0.044;0.059;0.055;0.095;0.071;0.051
0.052;0.059;0.048;0.07;0.059;0.046
0.044;0.037;0.029;0.035;0.033;0.02
0.026;0.022;0.015;0.021;0.018;0.006
0.017;0.015;0.004;0.014;0.012;0.003
0.013;0.005;0.001;0.007;0.006;0.001
