summer_weekday;summer_saturday;summer_sunday;winter_weekday;winter_saturday;winter_sunday
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
0.042;0.042;0.042;0.042;0.042;0.042
