[Zeit von];0 [TMZ in K];1 [TMZ in K];2 [TMZ in K];3 [TMZ in K];4 [TMZ in K];5 [TMZ in K];6 [TMZ in K];7 [TMZ in K];8 [TMZ in K];9 [TMZ in K];10 [TMZ in K];11 [TMZ in K];12 [TMZ in K];13 [TMZ in K];14 [TMZ in K];15 [TMZ in K];16 [TMZ in K];17 [TMZ in K];18 [TMZ in K];19 [TMZ in K];20 [TMZ in K];21 [TMZ in K];22 [TMZ in K];23 [TMZ in K];24 [TMZ in K];25 [TMZ in K];26 [TMZ in K];27 [TMZ in K];28 [TMZ in K];29 [TMZ in K];30 [TMZ in K];31 [TMZ in K];32 [TMZ in K];33 [TMZ in K];34 [TMZ in K]
00:00;0;0,117945401;0,213132569;0,288749445;0,338589797;0,386836576;0,408710154;0,469619551;0,544606881;0,613835586;0,71488765;0,83513826;0,885620826;0,97921174;1,085314224;1,191842981;1,311183568;1,397020043;1,502931538;1,57015633;1,672260958;1,71382638;1,76407486;1,886516819;1,944289921;2,03066504;2,103462364;2,179626116;2,279637347;2,327744524;2,392072884;2,480834936;2,55851301;2,621091111;2,658880704
00:15;0;0,126263487;0,231949415;0,314267967;0,341661968;0,390592242;0,442350543;0,490281054;0,561994145;0,636031388;0,740711555;0,821948489;0,897777931;0,990899227;1,113149237;1,218387196;1,360649511;1,447033402;1,52426506;1,589191424;1,63667465;1,754233576;1,823108905;1,957010537;2,021610473;2,114432881;2,188766013;2,275786323;2,363903823;2,418035667;2,483128303;2,581832834;2,661718197;2,71446308;2,751017399
00:30;0;0,10769088;0,214931929;0,314097473;0,337404131;0,384662267;0,428449627;0,483306211;0,558837011;0,644629435;0,678366613;0,832230773;1,00508085;1,015460469;1,130974614;1,239953867;1,321808625;1,382706999;1,471477785;1,510961195;1,558840003;1,609967967;1,673665316;1,755658589;1,821602678;1,914114895;1,986610152;2,068594028;2,158597476;2,216779247;2,280743116;2,38423604;2,450911052;2,499745942;2,534999656
00:45;0;0,108465428;0,19787616;0,278511126;0,339985687;0,38782873;0,432651552;0,48570807;0,548937109;0,620313753;0,683008055;0,774328721;0,930836959;1,048891919;1,160719124;1,179038813;1,252819442;1,317352851;1,392145247;1,436449841;1,490538901;1,545628557;1,591822801;1,6790161;1,744154063;1,823818309;1,895203862;1,962234343;2,053326268;2,120118552;2,185902045;2,273519616;2,330185683;2,377029675;2,420700647
01:00;0;0,108955115;0,199060541;0,27320349;0,341210401;0,38813848;0,432990559;0,524439372;0,589675037;0,663013322;0,732794143;0,813146012;0,928331977;1,107114592;1,113381671;1,186052584;1,24791329;1,326537474;1,388331638;1,437039815;1,497793927;1,548550587;1,593062004;1,678042255;1,741111992;1,818747658;1,884151116;1,953580642;2,041143496;2,102680141;2,185237049;2,25592555;2,311725078;2,366621355;2,412635555
01:15;0;0,149090794;0,201014489;0,27657549;0,343959395;0,391304973;0,437455032;0,490955099;0,594191539;0,646816065;0,720820381;0,812894291;0,917405966;1,123611942;1,125653334;1,20046518;1,263729365;1,345931465;1,408225397;1,460295354;1,520371009;1,567767276;1,620371938;1,703170821;1,766112967;1,850555232;1,908111401;1,984440273;2,063879287;2,123531667;2,212585156;2,255853053;2,313475904;2,369046924;2,412635555
01:30;0;0,136741792;0,22392774;0,305951634;0,391481605;0,444161647;0,490085932;0,540518612;0,603501918;0,69510467;0,767006364;0,844720649;0,957679219;1,043564649;1,191407718;1,277441402;1,345664644;1,41489759;1,486556723;1,538479096;1,602537376;1,650046369;1,712889587;1,794828409;1,860250374;1,947974898;2,008565775;2,0916591;2,205486122;2,264956753;2,335158087;2,404237239;2,462225571;2,52956574;2,596227489
01:45;0;0,133556056;0,272021042;0,391932799;0,481340508;0,522957646;0,591840423;0,648720839;0,696137609;0,820479322;0,888043019;1,028851045;1,155560461;1,236194103;1,414705108;1,498731184;1,584835765;1,66650913;1,732220712;1,791952071;1,857886323;1,906148718;1,985298794;2,069407774;2,139399146;2,237284628;2,303693744;2,415627476;2,584737278;2,646582644;2,707292577;2,851693877;2,912072721;2,986279189;3,128725192
02:00;0;0,129499935;0,262198633;0,375106711;0,467026887;0,509597361;0,570401429;0,641000782;0,6854527;0,785478199;0,870274462;1,083201818;1,180832223;1,276260496;1,371392064;1,472502654;1,552143943;1,625478367;1,706585725;1,763593736;1,827102609;1,875002908;1,961109151;2,046061549;2,117097723;2,214001541;2,288218259;2,37858487;2,550827421;2,598431672;2,64007907;2,783294762;2,838796379;2,902096677;3,042069245
02:15;0;0,125815952;0,253226075;0,361228479;0,460049817;0,500046228;0,569575464;0,645574075;0,70385266;0,801941821;0,989137229;1,087021746;1,188547007;1,279105885;1,378915515;1,466241588;1,554577915;1,637890605;1,718765492;1,781440525;1,848630018;1,898258711;1,990091292;2,070165341;2,142513768;2,242334472;2,303023237;2,403827246;2,562790832;2,598632178;2,642036771;2,783425591;2,841944303;2,899444948;3,042069245
02:30;0;0,122131957;0,244253538;0,348819271;0,453072746;0,492834867;0,574142296;0,649972617;0,723324965;0,82314475;1,001218396;1,092858262;1,196483734;1,283850435;1,388880812;1,480893611;1,557111564;1,635193948;1,711201501;1,798633484;1,860186662;1,920272915;2,022205686;2,094027194;2,173681153;2,254715465;2,325930539;2,416092455;2,4978992;2,602443159;2,643401163;2,719770743;2,840998692;2,900405281;2,986979085
02:45;0;0,118537437;0,235438315;0,336619029;0,421010203;0,493790904;0,579088517;0,661584776;0,746468929;0,847756619;1,009034228;1,098086314;1,203056163;1,300772414;1,392579323;1,485711234;1,560837833;1,641372548;1,706959488;1,801677114;1,879023046;1,927608262;2,035307698;2,118498592;2,201879018;2,277483177;2,332996698;2,431014301;2,473450051;2,604267954;2,644839031;2,68375792;2,841552145;2,901626547;2,941807841
