washing_machine,dish_washer,dryer,stove,fridge,freezer,television,video_recorder,pc,telecommunication,lighting,water_heating,other_load
100,80,2000,700,125,130,150,30,130,40,60,18000,55
2000,2000,2000,700,1,1,150,30,130,40,60,,
900,80,2000,700,1,1,150,30,130,40,60,,
100,80,1600,700,125,130,150,30,130,40,60,,
100,80,1300,,1,1,150,30,130,40,,,
300,2000,940,,1,1,150,30,130,40,,,
50,300,,,125,130,,30,130,40,,,
,150,,,1,1,,30,130,40,,,
,,,,1,1,,,,40,,,
,,,,125,130,,,,40,,,
,,,,1,1,,,,40,,,
,,,,1,1,,,,40,,,
,,,,125,130,,,,40,,,
,,,,1,1,,,,40,,,
,,,,1,1,,,,40,,,
,,,,125,130,,,,40,,,
,,,,1,1,,,,40,,,
,,,,1,1,,,,40,,,
,,,,125,130,,,,40,,,
,,,,1,1,,,,40,,,
,,,,1,1,,,,40,,,
,,,,125,130,,,,40,,,
,,,,1,1,,,,40,,,
,,,,1,1,,,,40,,,
