summer_weekday;summer_saturday;summer_sunday;winter_weekday;winter_saturday;winter_sunday
0.018;0.027;0.017;0.014;0.019;0.012
0.011;0.014;0.009;0.008;0.01;0.007
0.007;0.008;0.005;0.005;0.006;0.004
0.005;0.005;0.003;0.004;0.004;0.002
0.005;0.003;0.002;0.003;0.002;0.001
0.01;0.003;0.002;0.007;0.002;0.002
0.045;0.016;0.01;0.034;0.012;0.007
0.053;0.04;0.028;0.048;0.035;0.024
0.038;0.046;0.043;0.054;0.062;0.057
0.026;0.035;0.04;0.044;0.056;0.064
0.019;0.026;0.035;0.027;0.036;0.048
0.018;0.024;0.033;0.026;0.033;0.045
0.021;0.027;0.033;0.031;0.038;0.046
0.019;0.026;0.027;0.03;0.039;0.041
0.019;0.025;0.023;0.035;0.045;0.041
0.022;0.028;0.025;0.048;0.06;0.053
0.031;0.036;0.032;0.057;0.063;0.056
0.053;0.054;0.051;0.073;0.071;0.067
0.101;0.095;0.096;0.088;0.079;0.079
0.126;0.114;0.122;0.095;0.081;0.087
0.125;0.112;0.127;0.094;0.08;0.09
0.12;0.109;0.124;0.09;0.078;0.088
0.082;0.085;0.084;0.061;0.061;0.06
0.028;0.041;0.028;0.021;0.029;0.02
