summer_weekday;summer_saturday;summer_sunday;winter_weekday;winter_saturday;winter_sunday
0.011;0.01;0.02;0.011;0.01;0.02
0.005;0.005;0.009;0.005;0.005;0.009
0.002;0.002;0.004;0.002;0.002;0.004
0.001;0.001;0.002;0.001;0.001;0.002
0;0;0;0;0;0
0.001;0;0;0.001;0;0
0.002;0.001;0.001;0.002;0.001;0.001
0.004;0.001;0.002;0.004;0.001;0.002
0.005;0.003;0.002;0.005;0.003;0.002
0.006;0.004;0.006;0.006;0.004;0.006
0.006;0.006;0.01;0.006;0.006;0.01
0.008;0.007;0.013;0.008;0.007;0.013
0.009;0.008;0.017;0.009;0.008;0.017
0.012;0.013;0.02;0.012;0.013;0.02
0.016;0.02;0.029;0.016;0.02;0.029
0.023;0.032;0.038;0.023;0.032;0.038
0.034;0.04;0.048;0.034;0.04;0.048
0.047;0.055;0.058;0.047;0.055;0.058
0.083;0.089;0.079;0.083;0.089;0.079
0.152;0.132;0.123;0.152;0.132;0.123
0.221;0.193;0.2;0.221;0.193;0.2
0.206;0.191;0.191;0.206;0.191;0.191
0.113;0.131;0.099;0.113;0.131;0.099
0.032;0.056;0.028;0.032;0.056;0.028
