summer_weekday;summer_saturday;summer_sunday;winter_weekday;winter_saturday;winter_sunday
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0.012;0.007;0.004;0.01;0.01;0
0.058;0.015;0.018;0.036;0.025;0.007
0.081;0.081;0.024;0.077;0.049;0.018
0.092;0.111;0.059;0.128;0.088;0.059
0.104;0.118;0.11;0.123;0.128;0.117
0.087;0.103;0.123;0.092;0.128;0.117
0.081;0.118;0.11;0.092;0.088;0.103
0.058;0.089;0.066;0.072;0.079;0.088
0.052;0.066;0.07;0.062;0.079;0.081
0.058;0.052;0.064;0.056;0.074;0.066
0.058;0.044;0.044;0.051;0.049;0.051
0.069;0.044;0.044;0.041;0.044;0.059
0.035;0.037;0.061;0.041;0.044;0.073
0.069;0.037;0.066;0.046;0.044;0.066
0.064;0.044;0.066;0.031;0.039;0.044
0.023;0.022;0.044;0.029;0.02;0.022
0;0.007;0.022;0.01;0.01;0.018
0;0.003;0.007;0.002;0.004;0.012
