summer_weekday;summer_saturday;summer_sunday;winter_weekday;winter_saturday;winter_sunday
0.008;0.007;0.013;0.006;0.008;0.015
0.005;0.005;0.007;0.003;0.007;0.006
0.008;0.003;0.004;0.001;0.002;0.004
0.007;0.001;0.001;0.006;0.002;0.001
0.012;0.003;0;0.011;0.002;0.001
0.034;0.007;0.002;0.025;0.008;0.002
0.095;0.021;0.013;0.062;0.014;0.006
0.085;0.039;0.03;0.071;0.031;0.02
0.082;0.067;0.081;0.073;0.071;0.074
0.063;0.067;0.103;0.065;0.071;0.103
0.049;0.06;0.103;0.056;0.057;0.118
0.034;0.048;0.092;0.04;0.059;0.106
0.032;0.054;0.074;0.045;0.057;0.088
0.033;0.054;0.063;0.051;0.059;0.074
0.034;0.048;0.048;0.045;0.057;0.047
0.038;0.048;0.033;0.031;0.055;0.034
0.04;0.054;0.033;0.034;0.057;0.027
0.063;0.06;0.041;0.051;0.098;0.049
0.05;0.067;0.044;0.079;0.086;0.052
0.053;0.073;0.063;0.09;0.088;0.064
0.046;0.06;0.044;0.062;0.039;0.029
0.042;0.079;0.044;0.042;0.031;0.039
0.053;0.048;0.041;0.034;0.026;0.025
0.032;0.024;0.022;0.017;0.016;0.017
