summer_weekday;summer_saturday;summer_sunday;winter_weekday;winter_saturday;winter_sunday
0.006;0.005;0.008;0.006;0.005;0.008
0.003;0.003;0.004;0.003;0.003;0.004
0.002;0.001;0.002;0.002;0.001;0.002
0.001;0.001;0.001;0.001;0.001;0.001
0.001;0;0;0.001;0;0
0.002;0.001;0.001;0.002;0.001;0.001
0.01;0.004;0.003;0.01;0.004;0.003
0.024;0.013;0.011;0.024;0.013;0.011
0.043;0.038;0.034;0.043;0.038;0.034
0.056;0.063;0.067;0.056;0.063;0.067
0.052;0.065;0.088;0.052;0.065;0.088
0.056;0.07;0.096;0.056;0.07;0.096
0.042;0.054;0.066;0.042;0.054;0.066
0.047;0.061;0.064;0.047;0.061;0.064
0.05;0.065;0.053;0.05;0.065;0.053
0.052;0.063;0.047;0.052;0.063;0.047
0.062;0.065;0.051;0.062;0.065;0.051
0.076;0.071;0.063;0.076;0.071;0.063
0.076;0.064;0.065;0.076;0.064;0.065
0.086;0.068;0.07;0.086;0.068;0.07
0.094;0.074;0.075;0.094;0.074;0.075
0.089;0.073;0.073;0.089;0.073;0.073
0.053;0.053;0.044;0.053;0.053;0.044
0.017;0.024;0.013;0.017;0.024;0.013
