summer_weekday;summer_saturday;summer_sunday;winter_weekday;winter_saturday;winter_sunday
0.028;0.017;0.027;0.028;0.017;0.027
0.013;0.008;0.013;0.013;0.008;0.013
0.006;0.003;0.005;0.006;0.003;0.005
0.002;0.001;0.002;0.002;0.001;0.002
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0.011;0;0;0.011
0;0.006;0.014;0;0.006;0.014
0.019;0.018;0.031;0.019;0.018;0.031
0;0.024;0.039;0;0.024;0.039
0.019;0.039;0.045;0.019;0.039;0.045
0.019;0.069;0.085;0.019;0.069;0.085
0.038;0.093;0.107;0.038;0.093;0.107
0.057;0.105;0.121;0.057;0.105;0.121
0.057;0.096;0.096;0.057;0.096;0.096
0.057;0.075;0.068;0.057;0.075;0.068
0.072;0.063;0.056;0.072;0.063;0.056
0.153;0.12;0.076;0.153;0.12;0.076
0.21;0.114;0.087;0.21;0.114;0.087
0.167;0.084;0.076;0.167;0.084;0.076
0.081;0.063;0.039;0.081;0.063;0.039
